,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
192,0.0282,0.2733,0.376,0.2237,0.1915,0.2316,0.6532,0.0002,0.0002,0.0755,0.2143,1.612,1.6451,7.9253,0.6248,10.315
193,0.0267,0.2917,0.345,0.2152,0.1961,0.2294,0.6503,0.0003,0.0002,0.0848,0.2157,1.5991,1.6293,4.6584,0.6308,7.0344
194,0.027,0.2928,0.3456,0.2186,0.2254,0.2337,0.6883,0.0002,0.0001,0.0718,0.2055,1.6167,1.6471,4.6889,0.6251,7.0786
195,0.0269,0.2862,0.3448,0.2171,0.1869,0.2305,0.6445,0.0003,0.0002,0.0844,0.2133,1.5878,1.6181,4.6223,0.6208,6.9807
196,0.0271,0.2942,0.365,0.2194,0.1872,0.2297,0.6461,0.0002,0.0001,0.0812,0.2072,1.609,1.6396,4.6643,0.6171,7.039
197,0.0269,0.2836,0.3445,0.2208,0.1988,0.2328,0.6617,0.0003,0.0002,0.0886,0.2169,1.611,1.6412,5.0408,0.618,7.4185
198,0.0271,0.2878,0.3652,0.2218,0.1925,0.2263,0.6512,0.0002,0.0002,0.0886,0.2213,1.6296,1.6602,4.6332,0.618,7.028
199,0.0273,0.2766,0.3279,0.2186,0.2214,0.2271,0.6703,0.0002,0.0001,0.0735,0.2074,1.5632,1.5936,4.6697,0.6275,7.0069
200,0.0272,0.2655,0.3406,0.209,0.1788,0.2153,0.6064,0.0002,0.0002,0.0658,0.201,1.4885,1.5198,7.5659,1.0361,10.2347
201,0.0269,0.2911,0.3554,0.2183,0.1658,0.2262,0.6134,0.0002,0.0001,0.0762,0.2202,1.5712,1.6016,4.6064,0.6244,6.9481
202,0.0268,0.2788,0.3306,0.2137,0.1731,0.2233,0.6134,0.0001,0.0002,0.0796,0.2167,1.5358,1.5667,4.6329,0.6287,6.9455
203,0.0272,0.2627,0.3586,0.2172,0.1931,0.2334,0.6538,0.0002,0.0002,0.0816,0.2144,1.5856,1.6163,4.6173,0.6298,6.981
204,0.0271,0.2804,0.3521,0.2197,0.1803,0.2367,0.6453,0.0002,0.0002,0.0875,0.2042,1.5858,1.6163,4.6766,0.6253,7.0369
205,0.027,0.2778,0.3493,0.2163,0.1854,0.2335,0.6444,0.0002,0.0002,0.086,0.2117,1.5841,1.6146,4.6399,0.6272,6.9979
206,0.0273,0.2825,0.3532,0.2253,0.2284,0.2234,0.6878,0.0004,0.0001,0.086,0.208,1.6348,1.6654,4.6523,0.6274,7.0643
207,0.0271,0.2925,0.3484,0.2204,0.1953,0.2393,0.6627,0.0002,0.0001,0.0855,0.2278,1.6332,1.6637,4.7475,0.6207,7.1512
208,0.0327,0.2588,0.3658,0.213,0.1985,0.219,0.6381,0.0002,0.0002,0.0751,0.2177,1.571,1.6085,5.5163,1.0909,8.3505
209,0.0279,0.3321,0.3594,0.2298,0.1954,0.233,0.6679,0.0002,0.0001,0.0729,0.2206,1.6687,1.7002,4.7358,0.6333,7.1937
210,0.0279,0.2919,0.3644,0.2262,0.2432,0.2389,0.7172,0.0003,0.0002,0.0882,0.2089,1.6844,1.7158,4.8824,1.0203,7.7403
211,0.0278,0.305,0.3543,0.2192,0.1922,0.2354,0.655,0.0002,0.0002,0.0682,0.2051,1.6026,1.6339,4.7516,0.6253,7.1377
212,0.0281,0.3144,0.3665,0.2173,0.1903,0.2467,0.6636,0.0002,0.0002,0.0935,0.2204,1.6746,1.7062,4.6377,0.624,7.092
213,0.0272,0.2913,0.3275,0.2251,0.1683,0.2238,0.6204,0.0002,0.0001,0.0665,0.1999,1.513,1.5432,4.6166,0.6231,6.9143
214,0.0276,0.2699,0.3281,0.221,0.2171,0.2331,0.6742,0.0002,0.0001,0.0767,0.204,1.5598,1.5902,4.6591,0.629,6.999
215,0.0279,0.2936,0.3489,0.2282,0.1911,0.2324,0.6622,0.0002,0.0002,0.0705,0.2121,1.6034,1.6355,4.6821,0.6282,7.0626
216,0.0326,0.1698,0.3574,0.2111,0.2207,0.2298,0.6693,0.0002,0.0002,0.0737,0.2066,1.4927,1.5305,6.6117,0.6302,8.9025
217,0.0273,0.3205,0.3464,0.2246,0.1919,0.2457,0.6709,0.0002,0.0002,0.0738,0.2319,1.6573,1.688,5.0435,0.6245,7.4734
218,0.0265,0.2979,0.3478,0.2424,0.2347,0.2347,0.7227,0.0002,0.0002,0.0725,0.2267,1.6804,1.7102,4.6795,0.629,7.1356
219,0.0268,0.2763,0.3555,0.2253,0.185,0.2412,0.6589,0.0002,0.0002,0.0863,0.2241,1.6177,1.6479,4.6762,0.6247,7.0667
220,0.0271,0.2724,0.3717,0.2211,0.182,0.2397,0.6522,0.0002,0.0001,0.0853,0.2148,1.6098,1.64,4.5893,0.6189,6.9651
221,0.0272,0.2718,0.3487,0.2208,0.2304,0.236,0.6937,0.0002,0.0002,0.0827,0.2076,1.6194,1.6498,4.604,0.6179,6.9934
222,0.0272,0.2868,0.3835,0.219,0.1842,0.2289,0.6388,0.0002,0.0002,0.0837,0.2054,1.613,1.6435,4.7396,0.6273,7.1334
223,0.0271,0.2862,0.357,0.2202,0.234,0.2395,0.7034,0.0002,0.0002,0.0874,0.2244,1.6737,1.7042,4.6867,0.6294,7.1397
224,0.0321,0.1742,0.3586,0.2077,0.2331,0.2177,0.6678,0.0002,0.0002,0.0721,0.2003,1.4884,1.5254,5.7826,1.0913,8.5312
225,0.029,0.3072,0.3896,0.2159,0.1873,0.2308,0.6436,0.0003,0.0002,0.0841,0.2261,1.6658,1.6983,5.2346,0.6248,7.6784
226,0.028,0.2914,0.3514,0.2347,0.1793,0.2285,0.6503,0.0003,0.0002,0.072,0.2232,1.6038,1.6353,4.663,0.6243,7.0439
227,0.0269,0.2774,0.3542,0.219,0.1908,0.2373,0.6553,0.0002,0.0002,0.0789,0.2239,1.6055,1.6358,4.7077,0.7105,7.1735
228,0.0271,0.2963,0.363,0.2221,0.2307,0.242,0.7052,0.0002,0.0002,0.0706,0.2245,1.6779,1.7084,4.6535,0.6219,7.1005
229,0.0269,0.2805,0.3332,0.2256,0.2342,0.2348,0.7034,0.0002,0.0001,0.0823,0.2069,1.6191,1.6496,4.656,0.6244,7.0471
230,0.0271,0.2795,0.3367,0.2181,0.1884,0.2413,0.6558,0.0003,0.0002,0.0865,0.2111,1.5808,1.6111,4.6835,0.6234,7.0364
