0,1.2706,1.4952,7.679,0.9901,3.5076,0.1793,3.4522,7.142,0.0004,0.0002,0.3682,5.5404,23.2285,24.5077,360.331,58.1006,452.637,
1,1.4018,2.129,7.7731,0.5967,3.7379,0.1773,3.7693,7.697,0.0003,0.0003,0.3261,5.4883,24.0325,25.4448,367.422,58.1615,463.611,
2,1.4096,2.1376,7.9105,0.8692,2.5332,0.1946,3.3658,6.1035,0.0002,0.0002,0.3155,5.7656,23.1241,24.5433,364.57,58.208,459.975,
3,1.4128,2.0952,7.7514,0.5961,3.7033,0.2121,3.7934,7.7168,0.0003,0.0002,0.3158,5.4948,23.996,25.419,362.31,63.4017,463.832,
4,1.4157,1.975,7.8096,0.561,2.5169,0.1934,3.0476,5.7674,0.0003,0.0003,0.3191,5.5032,21.9601,23.3833,362.313,58.6647,457.009,
5,1.4078,2.1463,7.8343,0.5935,3.735,0.1613,3.8098,7.714,0.0003,0.0003,0.3266,5.537,24.1766,25.5946,362.59,58.5272,459.328,
6,1.4126,2.0247,7.7577,0.5812,2.5144,0.1534,2.8284,5.5038,0.0002,0.0003,0.311,5.5198,21.7289,23.1521,367.198,59.1095,461.987,
7,1.4039,2.2427,7.8557,0.6128,3.7697,0.1622,3.821,7.7574,0.0003,0.0003,0.3125,5.4825,24.2825,25.6964,362.472,60.3729,461.339,
8,1.2747,1.5585,7.5708,0.9227,3.1998,0.2037,3.3118,6.72,0.0002,0.0003,0.3449,5.6976,22.8279,24.1119,362.296,64.1454,460.918,
9,1.4121,2.2086,7.8272,0.6021,3.6923,0.2107,3.7809,7.6948,0.0003,0.0003,0.3178,5.539,24.2156,25.6376,362.065,60.3304,460.941,
10,1.4306,2.4479,8.1104,1.0111,2.5481,0.2687,3.5286,6.3533,0.0003,0.0003,0.3167,5.4989,23.7622,25.2033,363.29,61.0324,462.584,
11,1.4349,2.1099,7.784,0.6092,3.7448,0.2036,3.8086,7.7713,0.0003,0.0003,0.3271,5.5091,24.129,25.5718,365.17,60.2791,463.998,
12,1.4128,2.3816,8.0542,0.9789,2.5317,0.2341,3.3721,6.1419,0.0002,0.0005,0.4502,5.5161,23.5474,24.9711,365.626,60.5614,464.258,
13,1.4019,2.0825,7.7868,0.5961,3.7375,0.1645,3.7978,7.709,0.0003,0.0002,0.3094,5.5634,24.0713,25.4835,371.432,61.3611,471.299,
14,1.4508,2.265,7.8812,0.8801,2.5137,0.193,3.3759,6.0868,0.0002,0.0003,0.3061,5.6989,23.1394,24.6003,377.298,61.1706,476.439,
15,1.4102,2.1159,7.4478,0.5828,3.6443,0.2131,3.7309,7.5981,0.0002,0.0002,0.3271,5.52,23.6184,25.0381,372.14,60.9122,471.083,
16,1.2785,1.6063,7.7104,0.6658,3.0826,0.2078,3.3231,6.6161,0.0003,0.0002,0.3654,5.7119,22.6853,23.9734,365.984,60.6024,460.929,
17,1.4137,2.0865,7.7968,0.6154,3.8077,0.1617,3.8425,7.822,0.0003,0.0002,0.3236,5.5307,24.2026,25.6261,366.792,60.4664,465.937,
18,1.4056,2.4532,7.97,0.6535,2.6133,0.192,3.5179,6.328,0.0002,0.0002,0.314,5.5232,23.266,24.6821,370.919,60.8224,469.203,
19,1.4064,2.0722,7.7693,0.5798,3.7485,0.2025,3.8036,7.759,0.0002,0.0003,0.3148,5.5483,24.0655,25.4811,368.239,60.8927,467.705,
