,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
129,0.0431,0.3225,0.5031,0.3262,0.2578,0.2368,0.2773,0.7789,0.0002,0.0002,0.078,0.2911,2.3193,2.3656,10.0605,1.1738,13.8089
130,0.0457,0.3074,0.4782,0.3403,0.2515,0.1901,0.2778,0.7278,0.0003,0.0002,0.0652,0.283,2.218,2.267,8.5925,1.1529,12.2156
131,0.0457,0.3704,0.481,0.3453,0.2661,0.2271,0.276,0.7778,0.0002,0.0002,0.0868,0.279,2.3604,2.4094,8.5966,1.1493,12.3616
132,0.0461,0.3989,0.4709,0.3365,0.2556,0.1806,0.2726,0.7172,0.0002,0.0002,0.0826,0.278,2.2998,2.3491,8.6061,1.1518,12.3123
133,0.0459,0.343,0.492,0.3352,0.2611,0.1777,0.2762,0.7231,0.0003,0.0001,0.0888,0.2944,2.3324,2.3819,8.6083,1.1644,12.3619
134,0.0418,0.3639,0.4858,0.3298,0.2593,0.178,0.282,0.7282,0.0002,0.0001,0.0683,0.2682,2.2629,2.308,8.5175,1.1586,12.1907
135,0.0472,0.3737,0.4815,0.3609,0.2709,0.2177,0.282,0.7797,0.0002,0.0002,0.0884,0.2832,2.39,2.4406,8.7149,1.1555,12.5171
136,0.0527,0.2798,0.4636,0.3065,0.2483,0.2414,0.2656,0.7644,0.0003,0.0001,0.0834,0.2816,2.1957,2.253,11.6354,1.152,15.2666
137,0.0428,0.3708,0.4928,0.3355,0.2619,0.2368,0.2791,0.7835,0.0001,0.0002,0.0673,0.2823,2.3516,2.3982,8.6784,1.1618,12.4518
138,0.0479,0.3541,0.4888,0.3501,0.2521,0.182,0.2702,0.7126,0.0002,0.0002,0.0669,0.2798,2.2653,2.3167,8.6137,1.1536,12.2902
139,0.0499,0.4097,0.4667,0.3114,0.2525,0.1671,0.2732,0.6958,0.0001,0.0002,0.0605,0.2739,2.2305,2.2838,8.7384,1.1625,12.3883
140,0.0436,0.3121,0.4767,0.3093,0.2523,0.1641,0.2747,0.6942,0.0001,0.0002,0.0702,0.2725,2.143,2.1893,8.572,1.1568,12.1242
141,0.0434,0.3489,0.4725,0.309,0.2483,0.1592,0.2716,0.6821,0.0002,0.0002,0.0596,0.2614,2.1411,2.1872,8.6167,1.1518,12.1568
142,0.0454,0.3809,0.4829,0.3229,0.2469,0.1697,0.2713,0.6933,0.0002,0.0002,0.0912,0.2848,2.2661,2.3146,8.6284,1.1665,12.3116
143,0.0455,0.337,0.4735,0.3221,0.2646,0.2225,0.271,0.7618,0.0002,0.0001,0.0893,0.2806,2.2738,2.3224,8.6022,1.1518,12.2781
144,0.0463,0.2712,0.4524,0.3037,0.2526,0.1727,0.2647,0.6931,0.0002,0.0001,0.0722,0.2776,2.0787,2.1288,13.7523,1.1608,17.2367
145,0.0461,0.3777,0.4802,0.3042,0.2495,0.1721,0.2705,0.6976,0.0002,0.0001,0.0648,0.2754,2.2081,2.2571,8.6176,1.1541,12.2298
146,0.0453,0.3595,0.4885,0.3449,0.256,0.2269,0.2722,0.7647,0.0002,0.0001,0.0685,0.2756,2.3226,2.3711,8.5932,1.2038,12.3731
147,0.045,0.3818,0.4915,0.3288,0.2544,0.1622,0.2749,0.695,0.0002,0.0002,0.0646,0.2791,2.2615,2.3103,8.5895,1.1514,12.2559
148,0.0463,0.3548,0.4889,0.3432,0.2603,0.1868,0.2789,0.7329,0.0002,0.0002,0.0877,0.279,2.3066,2.3565,8.5932,1.1502,12.3031
149,0.0453,0.428,0.4896,0.3374,0.2703,0.2269,0.2736,0.7792,0.0002,0.0002,0.0895,0.2719,2.4159,2.4644,8.5984,1.1501,12.4199
150,0.0456,0.3556,0.4855,0.3329,0.2612,0.1755,0.2737,0.7174,0.0001,0.0002,0.0835,0.2704,2.2647,2.3202,8.6471,1.1588,12.3306
151,0.0447,0.3605,0.4935,0.3403,0.2598,0.1849,0.2763,0.7292,0.0003,0.0001,0.0698,0.2886,2.2994,2.3474,8.6416,1.157,12.3502
152,0.0546,0.2854,0.4685,0.3363,0.2516,0.1785,0.2659,0.7032,0.0002,0.0002,0.0855,0.2904,2.1904,2.25,10.5408,1.1494,14.1653
153,0.0468,0.5129,0.5033,0.3381,0.2575,0.1851,0.2753,0.7263,0.0003,0.0002,0.0907,0.2822,2.4703,2.5205,8.7481,1.167,12.6515
154,0.0479,0.3641,0.4905,0.345,0.2589,0.1924,0.2765,0.7366,0.0003,0.0002,0.0692,0.2792,2.3019,2.3532,12.8192,2.0673,17.451
155,0.0466,0.3661,0.4809,0.3338,0.2641,0.1834,0.2772,0.7321,0.0002,0.0001,0.0863,0.2745,2.2893,2.339,11.037,1.1571,14.7398
156,0.0456,0.3995,0.4708,0.3085,0.2559,0.1681,0.2719,0.6989,0.0001,0.0001,0.0716,0.2776,2.2414,2.2902,11.238,1.1397,14.8733
157,0.0452,0.4295,0.4908,0.3123,0.2612,0.2262,0.2738,0.7711,0.0002,0.0002,0.0929,0.2818,2.3965,2.4448,10.1328,1.1473,13.9272
158,0.0453,0.3503,0.4703,0.3247,0.2564,0.1813,0.2802,0.7253,0.0003,0.0002,0.0866,0.2892,2.2653,2.314,11.0109,1.1603,14.6918
159,0.0457,0.3656,0.4848,0.302,0.2586,0.1652,0.2698,0.6968,0.0001,0.0002,0.0715,0.2856,2.2178,2.2669,11.241,1.1527,14.8661
160,0.0481,0.1847,0.4688,0.3459,0.2464,0.1877,0.2659,0.7065,0.0002,0.0002,0.078,0.274,2.0746,2.1276,12.1221,1.1603,15.62
161,0.0473,0.3317,0.4911,0.3426,0.2619,0.2318,0.2774,0.7788,0.0003,0.0002,0.0706,0.286,2.3184,2.3691,8.7189,1.1614,12.4586
162,0.0468,0.3847,0.4946,0.3634,0.2566,0.1776,0.2752,0.7167,0.0003,0.0002,0.069,0.29,2.3377,2.3878,10.6215,1.6575,14.8764
163,0.0469,0.3555,0.4864,0.3235,0.2554,0.1817,0.2716,0.716,0.0002,0.0002,0.0656,0.2916,2.2552,2.3053,8.5986,1.157,12.2707
164,0.0457,0.373,0.4861,0.3364,0.258,0.2211,0.274,0.7616,0.0003,0.0002,0.0758,0.2674,2.3182,2.3672,10.1642,1.1511,13.8915
165,0.0466,0.3481,0.4838,0.3111,0.2571,0.2371,0.2757,0.7784,0.0003,0.0002,0.0901,0.282,2.312,2.3622,11.2795,1.1593,15.007
166,0.0458,0.3411,0.4769,0.3156,0.2548,0.1827,0.2767,0.7186,0.0002,0.0001,0.0756,0.272,2.2356,2.2847,11.2428,1.1528,14.8822
167,0.0457,0.371,0.5076,0.326,0.2542,0.2348,0.2747,0.7733,0.0002,0.0002,0.0948,0.2853,2.3738,2.4228,11.1459,1.1599,14.9327
168,0.0486,0.2879,0.4744,0.3485,0.2498,0.1835,0.2617,0.703,0.0002,0.0002,0.0844,0.2793,2.1985,2.2517,15.567,2.0859,20.1125
169,0.0476,0.3902,0.5005,0.3082,0.2614,0.1843,0.281,0.7352,0.0002,0.0001,0.0741,0.3007,2.3285,2.3797,9.6808,1.1557,13.426
170,0.0453,0.396,0.4927,0.3193,0.2531,0.1651,0.2743,0.6958,0.0002,0.0002,0.0653,0.2688,2.2514,2.3,8.5975,1.1557,12.2596
171,0.0453,0.3519,0.4761,0.3291,0.2558,0.182,0.2783,0.7244,0.0003,0.0001,0.0628,0.265,2.2277,2.2804,8.8756,1.1521,12.5136
172,0.0459,0.3098,0.4876,0.3381,0.2572,0.1844,0.2751,0.7249,0.0003,0.0001,0.0704,0.2811,2.231,2.2803,8.5994,1.1521,12.2361
