,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,18.386,70.6055,10.8876,101.552
1,15.4447,69.1461,10.9258,97.1876
2,14.747,69.7155,11.1716,97.2778
3,15.1833,69.4708,10.7528,97.0579
4,14.0521,69.4719,10.9865,96.1762
5,13.8835,69.4322,10.7191,95.6922
6,13.7965,69.4326,11.4892,96.3847
7,13.513,70.4245,11.7051,97.378
8,20.7409,74.1791,11.9928,108.586
9,15.0054,73.3619,12.3915,102.496
10,14.7193,73.8936,11.8808,102.254
11,14.1804,73.6691,12.0051,101.606
12,14.2276,73.6244,12.5307,102.147
13,13.8572,73.8243,12.7095,102.149
14,13.6493,74.1228,12.3823,101.905
15,13.485,74.7714,11.9799,101.966
16,15.8961,74.8755,11.6328,104.248
17,14.2353,75.1492,11.974,103.104
18,13.7912,75.6154,11.9167,103.032
19,13.8098,75.9968,11.7031,103.258
20,14.0949,76.0353,11.982,103.857
21,14.2479,76.4467,12.0397,104.436
22,14.0016,76.9907,11.859,104.569
23,13.9539,77.4619,11.8324,104.966
24,16.1435,73.8816,11.8227,103.422
25,15.0426,73.6277,11.7429,102.134
26,14.2797,73.9123,11.8906,101.812
27,14.3902,74.5728,12.0517,102.736
28,14.457,75.8178,12.1688,104.194
29,14.1796,75.7249,11.8886,103.498
30,14.6118,76.0388,12.1432,104.524
31,20.5228,75.8144,12.3802,110.436
32,16.6442,82.4806,13.1049,114.094
33,15.4486,83.9891,13.1819,114.351
34,14.8256,45.8844,7.0861,69.5635
35,14.991,46.2702,7.1289,70.1574
36,14.8962,46.7876,7.123,70.5605
37,14.7911,47.5606,7.1886,71.29
38,15.0431,47.5664,7.2066,71.58
39,15.4451,49.4503,7.2634,73.9166
40,16.215,87.3604,13.3641,118.59
41,15.5737,48.7403,7.281,73.2539
42,15.7142,53.8412,12.0825,83.3932
43,17.1049,53.7015,7.3947,79.9442
44,15.6643,50.1809,7.4213,75.0193
45,15.8999,63.3931,7.5313,88.5871
46,16.013,50.8731,7.4989,76.1606
47,15.759,51.384,7.5875,76.4919
48,18.7919,84.5724,12.8037,118.013
49,16.4618,52.2956,7.6705,78.09
50,16.5287,53.6515,7.6865,79.6325
51,16.6369,58.2639,7.786,84.4438
52,16.3034,61.0371,7.8507,86.9541
53,16.6679,54.7485,7.8807,81.0742
54,22.5312,60.2726,9.0145,93.5689
55,16.5712,56.5073,8.0182,82.8561
56,25.7319,97.9762,14.7235,140.041
57,26.2987,90.9751,13.8587,132.763
58,26.4522,56.8473,8.2303,93.2447
59,26.1015,57.9019,8.1885,93.9501
60,26.4178,67.8128,8.2743,104.243
61,26.3128,58.553,8.303,94.9123
62,26.0415,69.4255,9.3058,106.502
63,26.9092,59.3448,8.3503,96.3426
64,20.2381,103.771,11.3408,136.95
65,18.6099,60.0082,8.3474,88.6396
66,18.6567,60.6525,8.3984,89.4753
67,18.2557,61.2543,8.3558,89.6353
68,18.1152,64.1933,8.3878,92.453
