,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
116,0.0192,0.3371,0.3207,0.3296,0.2077,0.1868,0.211,0.6145,0.0002,0.0002,0.0781,0.1864,1.8858,1.9084,2.7988,0.3497,5.1252
117,0.0195,0.2998,0.2875,0.3062,0.1997,0.1692,0.2118,0.584,0.0002,0.0002,0.0645,0.1672,1.7202,1.7424,2.5448,0.3462,4.6977
118,0.0198,0.2999,0.282,0.298,0.2057,0.1593,0.2114,0.5796,0.0001,0.0002,0.0725,0.1752,1.7159,1.7381,2.5383,0.3436,4.6845
119,0.0199,0.2964,0.2885,0.2997,0.2093,0.1661,0.2122,0.5908,0.0002,0.0001,0.0596,0.1692,1.7123,1.7345,2.5587,0.353,4.7105
120,0.0207,0.2476,0.2914,0.3448,0.1955,0.1798,0.2017,0.5829,0.0002,0.0002,0.0804,0.1828,1.7584,1.7835,3.8449,0.4839,6.1826
121,0.0212,0.3018,0.3091,0.3202,0.1984,0.2226,0.2094,0.6355,0.0003,0.0001,0.0693,0.1819,1.8351,1.8591,2.5993,0.343,4.869
122,0.0215,0.2938,0.2853,0.3031,0.2001,0.1766,0.2094,0.5906,0.0002,0.0001,0.0652,0.172,1.7223,1.7466,2.5334,0.3417,4.6879
123,0.0199,0.3002,0.2847,0.3033,0.2052,0.171,0.2082,0.589,0.0001,0.0001,0.0668,0.1715,1.7274,1.7499,2.6219,0.3435,4.7828
124,0.0249,0.2977,0.2869,0.3215,0.2114,0.1785,0.2173,0.6137,0.0002,0.0001,0.0762,0.191,1.8005,1.8283,2.5315,0.3407,4.7655
125,0.0201,0.2985,0.2968,0.3259,0.1986,0.1717,0.216,0.5911,0.0002,0.0002,0.0633,0.1637,1.7581,1.7808,2.5702,0.3456,4.7618
126,0.0193,0.2946,0.2951,0.3081,0.2047,0.2166,0.2143,0.6403,0.0002,0.0001,0.0701,0.1775,1.7974,1.8191,2.5519,0.3456,4.7843
127,0.0198,0.295,0.284,0.3111,0.2072,0.173,0.2169,0.6029,0.0002,0.0001,0.0844,0.1759,1.7637,1.7859,2.5406,0.3425,4.7335
128,0.0237,0.1507,0.2914,0.3144,0.1936,0.227,0.2002,0.6259,0.0002,0.0002,0.104,0.1909,1.692,1.7201,4.5757,0.5432,6.9144
129,0.021,0.3035,0.2925,0.3074,0.2043,0.1716,0.2118,0.5928,0.0002,0.0002,0.0709,0.1741,1.7567,1.7806,2.5392,0.3399,4.7261
130,0.0205,0.2942,0.2899,0.3219,0.2065,0.1775,0.2166,0.6089,0.0003,0.0001,0.0621,0.1757,1.7746,1.798,2.6527,0.3412,4.8579
131,0.0195,0.3081,0.2971,0.3142,0.204,0.1793,0.2139,0.6025,0.0002,0.0002,0.0629,0.1819,1.7825,1.8049,2.558,0.3378,4.7667
132,0.0198,0.2968,0.2807,0.3109,0.2079,0.216,0.2167,0.6456,0.0002,0.0002,0.0747,0.1678,1.788,1.8106,2.5718,0.3511,4.7982
133,0.0198,0.2915,0.2819,0.3141,0.2023,0.2193,0.2084,0.6344,0.0002,0.0002,0.0733,0.1834,1.7895,1.8119,2.5624,0.3466,4.7852
134,0.0197,0.2931,0.2811,0.3089,0.2096,0.2179,0.2168,0.6487,0.0003,0.0002,0.0684,0.1822,1.8308,1.8532,2.5506,0.342,4.8107
135,0.0206,0.303,0.2782,0.3164,0.2081,0.172,0.2114,0.5951,0.0001,0.0002,0.0661,0.1727,1.7437,1.7668,2.5574,0.3367,4.7258
136,0.021,0.1427,0.2891,0.3094,0.195,0.2174,0.2065,0.6258,0.0003,0.0002,0.071,0.1827,1.6332,1.6583,4.0587,0.3473,6.1332
137,0.0205,0.3127,0.2996,0.3142,0.2091,0.2182,0.217,0.6507,0.0002,0.0002,0.0587,0.1797,1.8312,1.8546,2.6059,0.3431,4.869
138,0.0208,0.2936,0.2915,0.3216,0.2082,0.181,0.2136,0.6108,0.0003,0.0002,0.0712,0.1714,1.7787,1.8022,2.6262,0.3449,4.8385
139,0.0192,0.3033,0.2918,0.3193,0.2092,0.2066,0.223,0.6476,0.0002,0.0002,0.0727,0.1683,1.819,1.841,2.5458,0.3378,4.7894
140,0.0192,0.292,0.2904,0.3102,0.2061,0.1769,0.2139,0.6007,0.0001,0.0001,0.0634,0.1674,1.7373,1.7592,2.5429,0.3416,4.7112
141,0.022,0.2944,0.2899,0.3212,0.2126,0.196,0.2162,0.6316,0.0002,0.0002,0.0617,0.1778,1.7952,1.8199,2.5964,0.3462,4.8286
142,0.0193,0.3007,0.3024,0.3029,0.2099,0.1783,0.2149,0.6075,0.0002,0.0001,0.0693,0.1873,1.7851,1.8076,2.557,0.3383,4.7686
143,0.0193,0.305,0.2963,0.2969,0.2097,0.1681,0.214,0.5957,0.0002,0.0001,0.0733,0.1669,1.746,1.7682,2.5792,0.3371,4.7511
144,0.0236,0.1438,0.2969,0.2982,0.1949,0.1838,0.2031,0.589,0.0002,0.0002,0.0774,0.1971,1.6175,1.6462,4.1169,0.4689,6.3068
145,0.0213,0.3314,0.3164,0.3866,0.2104,0.1952,0.2226,0.6327,0.0003,0.0001,0.0653,0.1844,1.9313,1.9554,2.6862,0.3367,5.0431
146,0.0211,0.3003,0.2961,0.3047,0.2123,0.1706,0.2156,0.6036,0.0002,0.0001,0.0765,0.1823,1.7762,1.8,2.5554,0.3413,4.7642
147,0.0202,0.3296,0.2956,0.3097,0.208,0.2187,0.2155,0.6476,0.0002,0.0002,0.07,0.1653,1.8319,1.8547,2.5333,0.3428,4.7957
148,0.0201,0.2908,0.2797,0.3047,0.209,0.226,0.215,0.6547,0.0002,0.0001,0.0831,0.1839,1.8086,1.8312,2.5405,0.341,4.7779
149,0.0208,0.2997,0.2839,0.3014,0.2055,0.1756,0.2158,0.6021,0.0001,0.0002,0.0747,0.1797,1.7521,1.7753,2.5853,0.3378,4.7636
150,0.0203,0.3051,0.2832,0.3041,0.2037,0.1733,0.2142,0.5952,0.0002,0.0001,0.0649,0.1734,1.7371,1.7599,2.5568,0.3414,4.7227
151,0.0214,0.2921,0.2821,0.3159,0.2098,0.2262,0.2157,0.6566,0.0002,0.0001,0.0758,0.1711,1.8052,1.8294,2.5425,0.3411,4.7777
152,0.02,0.2497,0.2917,0.3199,0.2189,0.2608,0.2068,0.6941,0.0003,0.0002,0.0671,0.1762,1.8113,1.8355,3.0374,0.3492,5.292
153,0.0208,0.3032,0.295,0.3189,0.2009,0.1776,0.2143,0.5985,0.0002,0.0002,0.0695,0.1852,1.7828,1.8065,2.6458,0.3535,4.8753
154,0.0218,0.3013,0.2885,0.3129,0.2073,0.1808,0.2133,0.6055,0.0001,0.0002,0.077,0.1828,1.7798,1.8042,2.8023,0.3509,5.0317
155,0.0209,0.3368,0.3018,0.3113,0.2102,0.2261,0.2108,0.652,0.0002,0.0002,0.0708,0.1914,1.8792,1.9032,2.6054,0.3396,4.9186
156,0.0214,0.2961,0.2814,0.3172,0.2073,0.1748,0.2155,0.6017,0.0002,0.0002,0.0726,0.1736,1.7541,1.7783,2.6634,0.3433,4.8546
157,0.0203,0.2978,0.2854,0.2951,0.2091,0.2177,0.2103,0.6425,0.0002,0.0002,0.0728,0.1911,1.8015,1.8247,2.5358,0.341,4.7667
158,0.0208,0.2973,0.2956,0.3073,0.2068,0.1675,0.2086,0.5867,0.0002,0.0001,0.0729,0.1732,1.7509,1.7746,2.5305,0.3498,4.7201
159,0.0206,0.2965,0.2825,0.3046,0.2043,0.161,0.2168,0.5856,0.0002,0.0002,0.0624,0.1688,1.7082,1.7314,2.5276,0.3382,4.6618
160,0.0202,0.1451,0.2952,0.3046,0.1973,0.1642,0.1998,0.5647,0.0002,0.0001,0.0755,0.2235,1.6184,1.6424,3.1877,0.3415,5.2386
161,0.0208,0.3014,0.2915,0.3177,0.2025,0.1831,0.2138,0.6038,0.0002,0.0002,0.0753,0.1755,1.7793,1.8029,2.6255,0.3398,4.8367
162,0.0213,0.296,0.285,0.2974,0.2118,0.2333,0.2153,0.6687,0.0002,0.0001,0.0809,0.1891,1.8269,1.8512,3.4643,0.3453,5.7285
163,0.0198,0.3015,0.2923,0.296,0.2103,0.1755,0.2087,0.5995,0.0002,0.0002,0.0689,0.1767,1.748,1.7704,2.5173,0.3369,4.689
164,0.02,0.2925,0.2902,0.3012,0.2113,0.1715,0.2166,0.6034,0.0001,0.0002,0.0706,0.1853,1.7546,1.7771,2.5325,0.3403,4.7143
165,0.0195,0.2919,0.2908,0.3287,0.2031,0.1768,0.2153,0.6035,0.0003,0.0002,0.0739,0.1747,1.7868,1.809,2.5439,0.3359,4.7545
