,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,1.4843,5.0184,0.6743,7.2786
1,1.0413,4.5997,0.6604,6.4281
2,1.1161,4.5491,0.6656,6.4538
3,1.1512,4.5529,0.6721,6.5068
4,1.1422,4.6789,0.6928,6.6449
5,1.05,4.529,0.5435,6.2491
6,1.0431,4.581,0.7804,6.5332
7,1.0297,4.6106,0.7657,6.5432
8,1.3596,5.1369,0.7567,7.3877
9,1.0323,4.6675,0.7639,6.5974
10,1.028,4.7666,0.7776,6.7107
11,1.0394,4.694,0.7577,6.6311
12,1.0282,4.7514,0.6852,6.6007
13,1.0468,4.7727,0.64,6.5924
14,1.0289,4.7923,0.6442,6.5997
15,1.0541,4.8623,0.7703,6.8215
16,1.5814,5.231,0.7794,7.7403
17,1.0552,4.8617,0.7694,6.8235
18,1.0594,4.9318,0.656,6.7856
19,1.0473,4.9468,0.7818,6.9089
20,1.1035,5.024,0.7872,7.0515
21,1.1132,4.9986,0.6739,6.9184
22,1.1116,5.0704,0.6659,6.9818
23,1.1001,5.0785,0.6685,6.9828
24,1.6473,5.8235,0.7843,8.3957
25,1.1518,5.1718,0.67,7.132
26,1.1189,5.2326,0.7534,7.2405
27,1.1529,5.2374,0.7706,7.2939
28,1.2401,5.5536,0.7802,7.7105
29,1.1804,5.385,0.6685,7.3686
30,1.1722,5.4548,0.78,7.5396
31,1.1833,5.4169,0.6559,7.3896
32,1.6926,6.1012,0.7724,8.6984
33,1.2067,5.5214,0.6604,7.5207
34,1.2286,5.5804,0.6704,7.6138
35,1.3177,5.6938,0.788,7.9305
36,1.2393,5.8175,0.6666,7.8537
37,1.2337,5.7302,0.7807,7.8744
38,1.2461,5.7683,0.7845,7.9284
39,1.2388,5.856,0.8146,8.0388
40,1.8101,6.6592,0.8159,9.4186
41,1.2973,6.0062,0.8025,8.2358
42,1.286,6.9549,0.9307,9.301
43,1.2935,7.0691,1.0112,9.5036
44,1.3351,7.2762,0.9657,9.707
45,1.3944,7.3091,0.9777,9.8112
