,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
166,0.0184,0.282,0.3335,0.209,0.1948,0.2177,0.6317,0.0003,0.0002,0.0883,0.1812,1.5337,1.555,4.3909,0.3373,6.3578
167,0.0188,0.3041,0.346,0.2138,0.2351,0.2147,0.6724,0.0002,0.0002,0.0704,0.1894,1.5949,1.6164,2.6807,0.3416,4.709
168,0.0201,0.1653,0.3666,0.1999,0.1906,0.2063,0.6043,0.0002,0.0002,0.0607,0.1689,1.381,1.4057,4.3908,0.5336,6.4072
169,0.017,0.2819,0.3603,0.2126,0.1849,0.2176,0.6245,0.0002,0.0002,0.0823,0.1824,1.5426,1.5623,4.6175,0.5984,6.8491
170,0.0173,0.2757,0.3401,0.2111,0.1834,0.2114,0.6114,0.0002,0.0001,0.0709,0.1784,1.4883,1.5083,2.5216,0.3367,4.4376
171,0.0174,0.2722,0.3287,0.2148,0.2245,0.2174,0.6636,0.0002,0.0001,0.0749,0.1769,1.5314,1.5516,2.5575,0.3372,4.5225
172,0.0172,0.2964,0.358,0.2125,0.1855,0.2089,0.6151,0.0002,0.0002,0.0683,0.166,1.5199,1.5398,2.541,0.3347,4.4869
173,0.0173,0.2713,0.314,0.2064,0.1793,0.2163,0.6087,0.0002,0.0001,0.0709,0.1777,1.4519,1.4716,2.822,0.3339,4.6985
174,0.0196,0.2781,0.3088,0.2067,0.2141,0.2136,0.6374,0.0002,0.0001,0.0646,0.1733,1.4711,1.4931,2.5209,0.3332,4.4185
175,0.0174,0.265,0.3091,0.2049,0.1672,0.2165,0.5917,0.0001,0.0001,0.0628,0.1716,1.4078,1.4275,2.4819,0.3253,4.3055
176,0.0186,0.2398,0.344,0.1959,0.1623,0.2179,0.5792,0.0002,0.0002,0.0645,0.1782,1.4149,1.4372,4.4048,0.4652,6.3852
177,0.0198,0.2878,0.3494,0.2069,0.234,0.2149,0.6642,0.0002,0.0002,0.0765,0.1761,1.5676,1.5907,2.5094,0.3375,4.5111
178,0.0189,0.2696,0.3342,0.2127,0.1862,0.2154,0.6387,0.0003,0.0001,0.0794,0.177,1.5123,1.5339,2.5465,0.333,4.4846
179,0.0187,0.2883,0.326,0.212,0.181,0.22,0.6202,0.0002,0.0002,0.0653,0.1694,1.4846,1.506,2.5366,0.3327,4.4464
180,0.0186,0.2721,0.3368,0.2099,0.1851,0.218,0.6215,0.0002,0.0002,0.0766,0.1717,1.4906,1.5119,2.5352,0.3597,4.4811
181,0.0189,0.2759,0.3178,0.2035,0.1639,0.2102,0.5806,0.0002,0.0001,0.0691,0.1812,1.4341,1.4557,2.5067,0.3323,4.3657
182,0.0199,0.2831,0.343,0.2158,0.1775,0.2205,0.6168,0.0002,0.0001,0.0795,0.1747,1.5041,1.5265,3.6109,0.4964,5.7066
183,0.019,0.2794,0.309,0.2,0.1701,0.2161,0.5892,0.0002,0.0002,0.065,0.1626,1.4122,1.4334,2.515,0.3352,4.3532
184,0.0193,0.1549,0.3332,0.2079,0.1659,0.2057,0.5824,0.0003,0.0001,0.0749,0.1843,1.3371,1.3598,4.1277,0.5287,6.0861
185,0.019,0.2851,0.3201,0.2128,0.1731,0.2177,0.6066,0.0001,0.0002,0.0605,0.1803,1.4596,1.4808,3.1639,0.3304,5.0455
186,0.0204,0.2712,0.3038,0.212,0.1632,0.2126,0.5907,0.0002,0.0002,0.0706,0.1691,1.4138,1.4365,2.5154,0.3301,4.3524
187,0.0197,0.2674,0.3095,0.208,0.1598,0.2149,0.5857,0.0001,0.0002,0.0653,0.1713,1.4061,1.4281,2.4921,0.3329,4.3229
188,0.0213,0.266,0.3086,0.2101,0.2178,0.2258,0.6589,0.0001,0.0002,0.0745,0.1868,1.5029,1.5267,3.6357,0.3298,5.5641
189,0.0185,0.2765,0.3074,0.2051,0.1673,0.216,0.5915,0.0002,0.0001,0.0619,0.1962,1.4429,1.4637,2.5179,0.3357,4.3876
190,0.0198,0.2683,0.3059,0.2034,0.1719,0.213,0.5913,0.0002,0.0002,0.0759,0.1805,1.4288,1.4509,2.9635,0.3299,4.8154
191,0.019,0.2688,0.3116,0.2037,0.211,0.2159,0.6334,0.0001,0.0001,0.072,0.161,1.4545,1.4756,2.517,0.3365,4.3992
192,0.0189,0.2388,0.3375,0.1961,0.2201,0.2018,0.6211,0.0002,0.0002,0.0649,0.1535,1.4252,1.4476,3.3861,0.3354,5.2386
193,0.019,0.2817,0.3297,0.212,0.1724,0.2173,0.6047,0.0001,0.0001,0.0753,0.1912,1.4906,1.5122,4.4007,0.5873,6.5714
194,0.019,0.2808,0.315,0.2098,0.1893,0.2102,0.6124,0.0002,0.0001,0.0628,0.1608,1.4402,1.4616,4.4754,0.584,6.5925
195,0.0194,0.2764,0.3295,0.2089,0.1662,0.2172,0.5952,0.0002,0.0002,0.0668,0.179,1.4542,1.4759,3.7021,0.4535,5.709
196,0.0209,0.2879,0.3458,0.208,0.1893,0.2158,0.6192,0.0002,0.0001,0.0663,0.1663,1.5051,1.5293,4.0686,0.4922,6.1652
197,0.0201,0.2716,0.3516,0.2138,0.1857,0.2152,0.6238,0.0002,0.0001,0.0774,0.1717,1.5122,1.5351,4.1508,0.4962,6.2571
198,0.0193,0.2671,0.3309,0.2039,0.1829,0.218,0.6159,0.0003,0.0001,0.0874,0.1811,1.4959,1.5181,2.9056,0.33,4.8268
199,0.0191,0.2713,0.3295,0.2115,0.2414,0.216,0.6775,0.0003,0.0002,0.0819,0.1644,1.5377,1.5597,2.5273,0.3373,4.4953
200,0.0228,0.1617,0.3559,0.2037,0.183,0.2091,0.6032,0.0002,0.0001,0.0774,0.1766,1.3906,1.4182,3.5435,0.3392,5.3852
201,0.0199,0.2827,0.3326,0.2189,0.1907,0.2213,0.6385,0.0002,0.0002,0.07,0.1711,1.509,1.5319,2.6361,0.3353,4.5814
202,0.0191,0.2847,0.3481,0.2194,0.2358,0.2238,0.6865,0.0003,0.0003,0.0851,0.1805,1.6,1.6222,2.6549,0.3324,4.6874
203,0.0195,0.2835,0.3617,0.2074,0.1915,0.2146,0.6217,0.0002,0.0002,0.0795,0.1796,1.5449,1.5673,2.8084,0.3471,4.7972
204,0.0204,0.2832,0.3285,0.2138,0.1913,0.2198,0.6325,0.0002,0.0002,0.0615,0.1763,1.495,1.5182,4.0593,0.5034,6.155
205,0.0202,0.2977,0.3471,0.2027,0.185,0.2204,0.6169,0.0002,0.0002,0.0808,0.1691,1.5263,1.5496,2.6408,0.3272,4.59
206,0.0189,0.2724,0.3416,0.2095,0.225,0.2179,0.6596,0.0002,0.0002,0.0811,0.1755,1.5456,1.5671,2.9388,0.3282,4.9083
207,0.0192,0.2838,0.3277,0.2066,0.1824,0.2261,0.6227,0.0002,0.0002,0.0695,0.1691,1.4895,1.5114,2.505,0.3283,4.416
208,0.0191,0.3492,0.3543,0.2029,0.1842,0.2062,0.6,0.0003,0.0002,0.0812,0.1768,1.5757,1.5993,4.4981,0.5735,6.7493
209,0.0211,0.2884,0.3543,0.2114,0.1897,0.22,0.6299,0.0002,0.0002,0.0679,0.1876,1.5391,1.563,4.377,0.3265,6.3433
210,0.0189,0.2802,0.336,0.2016,0.2073,0.2097,0.6217,0.0002,0.0001,0.0757,0.1782,1.5015,1.5231,2.4849,0.3235,4.401
211,0.0204,0.2676,0.3108,0.2099,0.1632,0.2155,0.5915,0.0001,0.0001,0.0632,0.171,1.4111,1.4337,3.046,0.3291,4.8799
