,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
132,0.0098,0.2165,0.6441,0.0494,0.0028,0.292,0.0002,0.0462,0.13,0.0004,0.144,0.3057,0.9889,1.8681,4.6346,0.6018,7.2254
133,0.0101,0.2206,0.6244,0.0613,0.0035,0.2464,0.0001,0.0453,0.1303,0.0002,0.0974,0.2927,0.8954,1.7608,4.6001,0.6064,7.0873
134,0.0094,0.2139,0.6316,0.0535,0.0023,0.2796,0.0001,0.0462,0.1283,0.0001,0.143,0.2929,0.9637,1.8301,4.631,0.6062,7.1896
135,0.0103,0.273,0.6457,0.0588,0.003,0.306,0.0002,0.0519,0.1317,0.0002,0.1518,0.2867,1.0111,1.9503,4.6037,0.6045,7.2827
136,0.0101,0.1913,0.6777,0.0552,0.0021,0.2409,0.0001,0.0513,0.1307,0.0003,0.0954,0.2793,0.8756,1.7661,5.9493,0.6096,8.4563
137,0.0101,0.2292,0.6686,0.0542,0.003,0.2937,0.0001,0.0468,0.1314,0.0001,0.1381,0.2901,0.9737,1.8917,5.5184,0.603,8.1421
138,0.0097,0.2309,0.6412,0.0555,0.0031,0.2928,0.0001,0.0448,0.1346,0.0002,0.1418,0.2885,0.9806,1.8727,4.6175,0.6061,7.2185
139,0.0095,0.2192,0.6547,0.0571,0.0041,0.2492,0.0001,0.0505,0.1343,0.0002,0.0933,0.2786,0.8865,1.7795,4.6505,0.6117,7.1669
140,0.0094,0.2386,0.6437,0.0587,0.0035,0.2493,0.0001,0.0464,0.1394,0.0002,0.098,0.2855,0.9019,1.8046,4.6036,0.6065,7.1356
141,0.0102,0.2141,0.6594,0.0593,0.0026,0.2416,0.0001,0.045,0.1387,0.0003,0.0986,0.2745,0.8794,1.7733,4.5827,0.6034,7.0815
142,0.0095,0.2242,0.6193,0.0605,0.0027,0.291,0.0002,0.0493,0.1293,0.0002,0.1472,0.2863,0.9848,1.8459,4.6208,0.6065,7.1951
143,0.0102,0.2145,0.6499,0.0596,0.0034,0.2519,0.0001,0.046,0.1349,0.0003,0.1001,0.2864,0.9022,1.7867,4.6648,0.6018,7.1741
144,0.0112,0.1963,0.6557,0.0599,0.0024,0.2491,0.0001,0.0521,0.127,0.0002,0.0966,0.2863,0.8959,1.7734,7.7135,0.9477,10.5719
145,0.0094,0.2459,0.6513,0.0594,0.0017,0.3081,0.0001,0.0521,0.1344,0.0001,0.1431,0.2979,1.0143,1.9321,4.6853,0.612,7.3574
146,0.0092,0.2159,0.6385,0.0583,0.0024,0.2548,0.0001,0.0506,0.1349,0.0003,0.1012,0.2797,0.8992,1.7715,4.7114,0.6097,7.2236
147,0.0108,0.2263,0.6423,0.0586,0.0022,0.25,0.0001,0.0482,0.1319,0.0002,0.0968,0.294,0.9021,1.7896,4.6308,0.6066,7.1537
148,0.0099,0.2171,0.6221,0.0577,0.0038,0.2983,0.0001,0.0487,0.1309,0.0002,0.1469,0.2834,0.9908,1.848,4.6864,0.6028,7.2628
149,0.0089,0.2285,0.63,0.0528,0.0015,0.233,0.0001,0.0427,0.131,0.0002,0.0916,0.2727,0.8353,1.7081,4.6167,0.606,7.0567
150,0.0091,0.2143,0.6322,0.0576,0.0015,0.228,0.0001,0.0577,0.1354,0.0002,0.0953,0.2768,0.863,1.7258,4.6517,0.6077,7.1061
151,0.0092,0.2199,0.6122,0.0561,0.0016,0.2296,0.0001,0.0435,0.1295,0.0002,0.0925,0.2661,0.828,1.6753,4.6221,0.6059,7.0239
152,0.0091,0.1896,0.6608,0.0474,0.0015,0.2833,0.0001,0.0454,0.118,0.0002,0.1435,0.2727,0.9216,1.7893,7.6666,1.0225,10.6059
153,0.0091,0.2279,0.6632,0.0542,0.0017,0.2426,0.0001,0.0463,0.1311,0.0002,0.0922,0.2862,0.8718,1.781,4.6724,0.6041,7.1923
154,0.0094,0.2308,0.6441,0.0592,0.0023,0.2529,0.0002,0.0486,0.1436,0.0002,0.0957,0.2812,0.9041,1.7982,4.6662,0.6034,7.1965
155,0.0105,0.2157,0.664,0.0594,0.0025,0.2418,0.0002,0.0565,0.1358,0.0002,0.101,0.2878,0.9036,1.8033,5.0953,0.6103,7.6381
156,0.0098,0.2285,0.6313,0.0536,0.0014,0.2309,0,0.0449,0.1295,0.0002,0.093,0.2751,0.8378,1.7138,4.605,0.6071,7.0474
157,0.0098,0.206,0.6185,0.0542,0.0015,0.2863,0,0.045,0.1295,0.0001,0.1351,0.2586,0.9192,1.7589,4.6263,0.6014,7.1072
158,0.0097,0.2218,0.6015,0.0539,0.0015,0.2324,0,0.0447,0.1328,0.0001,0.0905,0.283,0.8476,1.6852,4.5905,0.6081,7.0046
159,0.0094,0.2134,0.597,0.0538,0.0014,0.2365,0,0.0505,0.1302,0.0001,0.093,0.2755,0.8498,1.675,4.6499,0.604,7.0492
160,0.015,0.1758,0.659,0.0595,0.0024,0.2437,0.0002,0.0485,0.1247,0.0002,0.0944,0.3067,0.9006,1.7644,7.4397,0.9448,10.2766
161,0.0097,0.2422,0.6414,0.0583,0.0017,0.2981,0.0001,0.0477,0.1339,0.0002,0.1449,0.3063,1.0098,1.913,6.137,0.6011,8.7844
162,0.0099,0.2146,0.631,0.0545,0.0016,0.2299,0.0002,0.0426,0.1248,0.0001,0.0951,0.2735,0.8325,1.697,4.5928,0.5987,7.009
163,0.0103,0.2114,0.639,0.0591,0.0055,0.2525,0.0001,0.0488,0.1366,0.0002,0.0939,0.2815,0.8979,1.7674,4.6554,0.6019,7.149
164,0.0087,0.2206,0.6415,0.0541,0.0018,0.2816,0.0001,0.0481,0.1298,0.0002,0.1339,0.2774,0.9412,1.8218,4.6748,0.6244,7.2444
165,0.0096,0.226,0.6223,0.0524,0.0014,0.2887,0.0001,0.0451,0.1298,0.0001,0.1387,0.2817,0.9481,1.8117,4.5921,0.597,7.1221
166,0.0089,0.2138,0.6409,0.0595,0.0039,0.2345,0.0001,0.0467,0.1347,0.0002,0.0961,0.2861,0.8832,1.7562,4.6354,0.6246,7.1413
167,0.0092,0.2279,0.6796,0.0577,0.0022,0.2515,0.0001,0.0453,0.1379,0.0003,0.1092,0.2991,0.9272,1.8548,5.1347,0.5962,7.7067
168,0.0105,0.0965,0.6739,0.0539,0.0023,0.2613,0.0001,0.0513,0.1369,0.0002,0.1,0.3013,0.9446,1.7393,8.4097,1.0389,11.3283
169,0.0097,0.2459,0.6633,0.0574,0.0035,0.2534,0.0001,0.0494,0.1373,0.0001,0.0926,0.268,0.8825,1.8124,5.071,0.6016,7.6128
170,0.0093,0.2303,0.6313,0.0578,0.0016,0.2379,0.0001,0.0456,0.1333,0.0002,0.1001,0.2893,0.8844,1.7646,4.5482,0.6011,7.0345
171,0.0098,0.2135,0.6289,0.0553,0.003,0.2848,0.0001,0.0573,0.1316,0.0002,0.1389,0.2809,0.9706,1.8324,4.653,0.6004,7.2071
172,0.01,0.2192,0.6191,0.0541,0.0034,0.2966,0.0001,0.0463,0.1301,0.0002,0.1395,0.2808,0.97,1.8261,4.5706,0.6014,7.1193
173,0.0099,0.2174,0.652,0.0566,0.0037,0.244,0.0001,0.047,0.1332,0.0002,0.093,0.2819,0.8798,1.7681,4.6283,0.6015,7.1202
174,0.0102,0.2283,0.6272,0.0533,0.0018,0.2321,0.0001,0.0482,0.1332,0.0001,0.0975,0.2761,0.8613,1.7363,4.6662,0.5953,7.1214
175,0.0095,0.2211,0.6562,0.0554,0.0032,0.2885,0.0001,0.0472,0.1349,0.0002,0.1378,0.277,0.9622,1.858,4.6626,0.601,7.2431
176,0.0106,0.1124,0.6811,0.0571,0.0031,0.2369,0.0001,0.0461,0.1263,0.0002,0.0929,0.2878,0.8687,1.6843,7.4795,0.9332,10.227
177,0.0102,0.2439,0.6721,0.0583,0.0028,0.2524,0.0001,0.0512,0.1369,0.0002,0.0961,0.302,0.9186,1.8568,7.3391,0.9253,10.2453
178,0.0095,0.2202,0.643,0.0577,0.0035,0.2605,0.0001,0.0464,0.1348,0.0003,0.1015,0.2828,0.9087,1.7925,5.0886,0.9358,7.9434
179,0.01,0.2301,0.6524,0.0539,0.0029,0.301,0.0001,0.0494,0.1335,0.0001,0.139,0.2961,0.9961,1.8982,5.0121,0.6009,7.6348
180,0.01,0.2153,0.644,0.0534,0.0018,0.2533,0.0001,0.05,0.1333,0.0002,0.0963,0.2893,0.8966,1.7769,4.7221,0.9309,7.5523
181,0.0098,0.2252,0.6311,0.0524,0.0019,0.2469,0.0001,0.0567,0.1357,0.0002,0.0971,0.2812,0.8898,1.7658,5.1654,0.6031,7.6563
182,0.0096,0.2174,0.6465,0.059,0.0033,0.2314,0.0001,0.0535,0.1347,0.0003,0.0981,0.286,0.886,1.7683,5.8901,0.9977,8.7811
183,0.0097,0.2219,0.6539,0.0525,0.0016,0.2458,0.0001,0.0493,0.1339,0.0002,0.0949,0.3003,0.8992,1.7944,4.5632,0.6036,7.0848
184,0.0101,0.1015,0.6636,0.0548,0.0022,0.2924,0.0001,0.0558,0.1251,0.0003,0.143,0.2901,0.9818,1.7678,7.0873,0.6096,9.5894
185,0.0098,0.2258,0.6454,0.0526,0.0017,0.2374,0,0.0529,0.1294,0.0002,0.0938,0.2912,0.8703,1.7577,7.1939,0.601,9.6774
186,0.0089,0.2343,0.6461,0.0541,0.0033,0.2425,0.0001,0.0517,0.1343,0.0002,0.0945,0.2735,0.8757,1.7777,4.5217,0.5943,7.0153
187,0.0091,0.1903,0.6419,0.0571,0.0035,0.2496,0.0001,0.0481,0.1304,0.0002,0.0951,0.2862,0.8879,1.739,7.2891,0.9538,10.11
188,0.0099,0.2228,0.6771,0.0582,0.0017,0.2878,0.0001,0.0464,0.1305,0.0003,0.1392,0.285,0.9679,1.8869,5.2587,0.9133,8.1871
189,0.0094,0.2336,0.6455,0.0559,0.0017,0.2396,0.0001,0.0509,0.1337,0.0002,0.0976,0.2906,0.8895,1.7877,5.4848,0.5882,7.9822
190,0.0098,0.2137,0.6415,0.0605,0.0033,0.2451,0.0001,0.0471,0.1384,0.0002,0.0959,0.2811,0.8913,1.7658,5.641,0.911,8.4399
191,0.0099,0.2186,0.6261,0.0564,0.002,0.2535,0.0002,0.0512,0.1319,0.0002,0.0981,0.2784,0.8906,1.7544,4.5611,0.5924,7.0296
192,0.0111,0.2052,0.683,0.0555,0.0026,0.2659,0.0001,0.0498,0.1253,0.0002,0.0976,0.2917,0.9125,1.823,7.3151,0.9474,10.2224
193,0.0101,0.2425,0.6543,0.055,0.0015,0.2389,0.0001,0.0482,0.1314,0.0001,0.0937,0.2719,0.8508,1.7697,7.3031,0.5956,9.7946
194,0.0097,0.2183,0.603,0.0529,0.0015,0.233,0,0.0497,0.1242,0.0002,0.0919,0.2884,0.8529,1.6891,4.5681,0.5964,6.9751
195,0.0094,0.2112,0.6255,0.0572,0.0015,0.2327,0.0001,0.0445,0.1302,0.0002,0.0919,0.2875,0.8575,1.7102,6.3564,0.6007,8.7891
196,0.0098,0.2209,0.5947,0.0634,0.0015,0.2885,0.0001,0.0444,0.1292,0.0001,0.134,0.2656,0.9353,1.7656,4.5706,0.5974,7.0543
197,0.0098,0.2142,0.5989,0.05,0.0015,0.2381,0,0.0431,0.1309,0.0001,0.0925,0.2655,0.8303,1.6579,6.7108,1.0122,9.5079
198,0.0102,0.2037,0.6435,0.0556,0.0016,0.2302,0.0001,0.0489,0.1286,0.0002,0.0937,0.2772,0.8474,1.7155,7.6117,0.987,10.4374
199,0.0097,0.227,0.6061,0.0562,0.0015,0.2329,0.0001,0.0444,0.1278,0.0002,0.0932,0.2862,0.8529,1.7068,6.876,0.5924,9.3001
200,0.0115,0.1943,0.6642,0.0563,0.0037,0.2444,0.0001,0.0533,0.1239,0.0002,0.0995,0.3089,0.9112,1.7917,7.004,0.5959,9.5338
201,0.0102,0.2275,0.6631,0.0613,0.0023,0.2491,0.0001,0.0452,0.1322,0.0003,0.1001,0.2981,0.9115,1.8219,5.2826,0.5974,7.8308
202,0.0096,0.2281,0.6541,0.0493,0.0031,0.2955,0.0001,0.0482,0.1302,0.0003,0.1442,0.2968,0.9878,1.9048,4.5323,0.5959,7.1554
203,0.0097,0.2142,0.6448,0.0549,0.0019,0.2945,0.0001,0.0478,0.1314,0.0002,0.1359,0.2836,0.9703,1.8483,4.6079,0.6002,7.1788
204,0.0096,0.2126,0.6468,0.0598,0.0035,0.2435,0.0001,0.0455,0.1355,0.0002,0.0958,0.2956,0.8993,1.777,4.5648,0.5998,7.0672
205,0.0097,0.2334,0.6259,0.0602,0.0022,0.2288,0.0001,0.0507,0.1325,0.0003,0.0962,0.2772,0.866,1.7454,4.5786,0.5973,7.0438
