,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
199,1.428,2.3314,1.3554,8.9115,0.2114,5.845,14.9721,0.0002,0.0002,0.3101,7.2561,26.2457,27.6875,626.977,97.6557,768.19
200,1.2681,1.7347,1.071,9.6326,0.2255,6.1547,16.0209,0.0003,0.0002,0.3756,7.2462,26.459,27.7367,618.081,97.5502,757.397
201,1.451,2.1461,0.8503,8.8357,0.2119,5.8075,14.8608,0.0002,0.0002,0.3119,7.2628,25.4557,26.9168,623.798,97.8086,764.65
202,1.4068,2.1548,0.8305,9.706,0.2114,7.2871,17.2086,0.0001,0.0002,0.3148,7.2321,27.7561,29.1716,627.324,97.6265,770.021
203,1.4208,2.2835,0.8392,9.5932,0.2151,7.3102,17.1232,0.0001,0.0002,0.3088,7.2313,27.8351,29.2652,624.446,97.2448,766.875
204,1.4329,2.5483,1.3476,8.7128,0.2015,6.3317,15.2525,0.0002,0.0002,0.3145,7.232,26.7155,28.1581,625.05,97.4634,766.735
205,1.425,2.2331,0.7913,8.9369,0.1975,5.826,14.9644,0.0003,0.0002,0.3116,7.2316,25.5455,26.9801,622.106,98.0622,763.174
206,1.4359,2.3908,0.8565,9.7439,0.2122,7.405,17.3713,0.0003,0.0002,0.3152,7.2368,28.1916,29.6375,625.368,98.432,769.468
207,1.4065,2.3214,0.8306,9.7609,0.2282,7.4031,17.4019,0.0002,0.0002,0.3254,7.2695,28.1704,29.5854,630.976,97.6503,774.272
208,1.2833,1.8139,1.0791,9.2113,0.23,6.2484,15.6997,0.0002,0.0001,0.3662,7.2857,26.2535,27.5471,619.103,99.2737,759.916
209,1.4161,2.1956,0.8381,9.6791,0.2379,7.4107,17.334,0.0004,0.0004,0.3118,7.2892,27.9879,29.4135,625.263,97.8647,768.508
210,1.4283,2.4118,1.1625,9.56,0.2251,5.8838,15.6773,0.0002,0.0002,0.3112,7.2601,26.8444,28.2817,625.269,97.7544,767.262
211,1.4269,2.2337,0.8441,9.8611,0.2624,7.4355,17.5695,0.0003,0.0002,0.3758,7.2445,28.2871,29.7244,624.918,98.2189,768.763
212,1.4582,2.0081,0.86,9.6719,0.2331,7.3879,17.301,0.0002,0.0002,0.3133,7.2532,27.7583,29.2248,623.076,98.1928,766.606
213,1.4197,2.2328,1.3709,8.7911,0.2254,6.3195,15.3466,0.0003,0.0003,0.3238,7.2473,26.5448,27.9732,626.894,97.9238,768.693
214,1.4245,2.0655,0.8365,8.8682,0.2175,5.886,14.979,0.0002,0.0002,0.3236,7.2534,25.4756,26.9094,622.633,97.837,763.329
215,1.4181,2.1061,0.8796,9.6723,0.2115,7.4138,17.3034,0.0002,0.0002,0.3107,7.2543,27.8777,29.3048,624.371,98.8013,768.843
216,1.2665,1.488,1.3026,8.8838,0.1947,6.2821,15.3662,0.0002,0.0001,0.3461,7.281,25.7952,27.0729,625.24,97.9768,764.313
217,1.4314,2.3027,0.8502,9.7764,0.228,7.4067,17.4208,0.0003,0.0002,0.3131,7.2566,28.1671,29.6079,628.227,97.8292,771.549
218,1.4477,2.2684,0.8519,9.8984,0.2352,7.4542,17.5983,0.0003,0.0002,0.313,7.2564,28.3057,29.7634,629.249,98.1083,773.273
219,1.4272,2.4364,1.3862,9.091,0.2206,5.9244,15.2454,0.0002,0.0001,0.3126,7.2609,26.666,28.1027,623.634,98.2751,766.164
220,1.4289,2.2342,0.771,9.2188,0.2369,5.9237,15.3914,0.0003,0.0002,0.3218,7.2597,25.9987,27.4377,630.161,98.4222,772.057
221,1.4221,2.1566,0.8501,9.6877,0.2349,7.3477,17.2813,0.0003,0.0002,0.327,7.2757,27.9102,29.3403,630.633,98.0967,774.041
222,1.4284,2.2058,0.8357,10.0693,0.2312,7.5655,17.8753,0.0003,0.0001,0.3165,7.2653,28.521,29.9592,629.954,98.1885,774.035
223,1.3952,2.3609,1.2044,9.4422,0.2032,5.9439,15.5983,0.0003,0.0002,0.3201,7.2586,26.7615,28.1649,626.54,98.3333,768.864
224,1.2824,1.5843,1.0682,9.4634,0.2665,6.1818,15.9157,0.0003,0.0001,0.3635,7.3226,26.2642,27.5569,622.18,98.4682,762.316
225,1.4345,2.2385,0.8471,9.8065,0.2343,7.4675,17.5188,0.0003,0.0002,0.3105,7.2717,28.2081,29.6552,629.801,98.5034,774.015
