,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
204,0.0102,0.2212,0.6208,0.0534,0.0016,0.2846,0.0001,0.0575,0.1305,0.0002,0.2104,0.7485,0.1287,1.7373,4.8975,0.615,7.3695
205,0.0098,0.2222,0.6327,0.0512,0.0014,0.2663,0,0.0577,0.1302,0.0002,0.2016,0.7165,0.1241,1.7109,4.8223,0.6139,7.2647
206,0.0094,0.2148,0.6104,0.0541,0.0014,0.2528,0.0001,0.0802,0.1295,0.0002,0.2127,0.7435,0.1244,1.7082,4.7735,0.6155,7.2142
207,0.0097,0.2149,0.6489,0.0584,0.0047,0.2491,0,0.0751,0.1334,0.0002,0.2182,0.759,0.1189,1.7628,4.8178,0.6254,7.3259
208,0.0107,0.2006,0.6706,0.058,0.0024,0.2454,0.0002,0.0801,0.1318,0.0002,0.2032,0.7426,0.125,1.7663,6.1722,0.6256,8.6956
209,0.0102,0.2348,0.6923,0.0551,0.002,0.2555,0.0001,0.0705,0.1375,0.0002,0.2267,0.7647,0.1194,1.8353,4.9598,0.6249,7.5453
210,0.0107,0.2334,0.6757,0.0574,0.0019,0.2969,0.0001,0.0644,0.1368,0.0002,0.2116,0.7856,0.1282,1.8442,4.9287,0.6242,7.5225
211,0.0103,0.223,0.6532,0.0606,0.0029,0.2376,0.0001,0.0705,0.1379,0.0002,0.2071,0.7348,0.1299,1.7605,4.9787,0.6169,7.4809
212,0.0097,0.2342,0.663,0.0471,0.0017,0.2417,0.0001,0.0714,0.1323,0.0002,0.2124,0.7186,0.1205,1.7589,4.8946,0.6179,7.3915
213,0.0098,0.2189,0.6417,0.0514,0.0014,0.2836,0.0001,0.0651,0.1349,0.0002,0.2067,0.7513,0.1152,1.7427,4.8183,0.6192,7.2964
214,0.0092,0.2243,0.6322,0.0531,0.0041,0.297,0.0001,0.0697,0.1343,0.0002,0.2186,0.7981,0.1298,1.8054,4.8461,0.6215,7.392
215,0.0099,0.2249,0.6676,0.0602,0.0019,0.2284,0.0001,0.0604,0.1322,0.0002,0.2127,0.7094,0.1269,1.7497,4.8354,0.6184,7.3239
216,0.0099,0.1912,0.6781,0.0491,0.0023,0.2341,0.0001,0.0728,0.1278,0.0002,0.2071,0.7127,0.1326,1.7403,8.2018,0.738,10.8046
217,0.0092,0.2477,0.6887,0.0549,0.0045,0.2472,0.0001,0.0721,0.1327,0.0002,0.2219,0.7492,0.1277,1.8317,4.8569,0.6141,7.4218
218,0.0091,0.2215,0.6479,0.0543,0.0034,0.2254,0.0001,0.0686,0.1372,0.0001,0.2293,0.7359,0.1389,1.7648,4.9938,0.6281,7.5067
219,0.0099,0.219,0.6791,0.0609,0.0045,0.2511,0,0.0747,0.1403,0.0003,0.2136,0.7684,0.1098,1.7974,4.7971,0.6136,7.3275
220,0.0099,0.2182,0.652,0.0692,0.0036,0.2925,0.0001,0.0802,0.127,0.0001,0.203,0.7924,0.1263,1.8104,4.8028,0.6206,7.3525
221,0.0095,0.2171,0.628,0.0596,0.0021,0.2356,0,0.0673,0.1385,0.0002,0.2103,0.7297,0.1266,1.7226,4.8364,0.6183,7.295
222,0.0103,0.2184,0.6745,0.0552,0.0021,0.2974,0.0001,0.0797,0.1349,0.0001,0.2099,0.7986,0.1302,1.8429,4.8121,0.6168,7.391
223,0.0094,0.2287,0.6462,0.0555,0.0028,0.236,0.0001,0.0758,0.1361,0.0002,0.2265,0.7505,0.124,1.7714,4.8205,0.6174,7.3282
224,0.0107,0.1032,0.6604,0.0581,0.0032,0.2432,0.0001,0.0713,0.1293,0.0002,0.208,0.731,0.1445,1.6659,7.7854,0.6187,10.2011
225,0.0092,0.2299,0.6312,0.0513,0.0015,0.2724,0.0001,0.0584,0.1322,0.0002,0.2136,0.742,0.1261,1.7454,4.8039,0.6202,7.2881
226,0.0101,0.2267,0.6509,0.0556,0.0019,0.2282,0.0001,0.0701,0.1319,0.0002,0.2129,0.716,0.1197,1.7364,5.0112,0.615,7.4841
227,0.0097,0.2245,0.6602,0.0586,0.0037,0.2914,0.0001,0.072,0.1332,0.0003,0.2141,0.7915,0.1266,1.8254,4.887,0.6185,7.4497
228,0.0099,0.2329,0.6479,0.0556,0.002,0.2396,0.0001,0.0764,0.1315,0.0001,0.2255,0.7472,0.1277,1.7783,4.8288,0.6197,7.3445
229,0.0099,0.2193,0.6131,0.0581,0.0018,0.2464,0,0.0666,0.1352,0.0001,0.2075,0.7304,0.1275,1.7119,4.7438,0.6109,7.1848
230,0.0099,0.2349,0.6387,0.0559,0.003,0.2964,0.0001,0.0819,0.1371,0.0002,0.208,0.8016,0.1288,1.8249,4.8118,0.6173,7.3727
231,0.0101,0.219,0.6474,0.0596,0.0022,0.2804,0,0.0715,0.1353,0.0002,0.207,0.7722,0.1172,1.7765,4.8147,0.622,7.3317
232,0.01,0.1979,0.6808,0.0577,0.0021,0.25,0.0001,0.0709,0.1374,0.0002,0.2036,0.7407,0.1329,1.7774,7.6739,0.84,10.413
233,0.0091,0.241,0.6523,0.0547,0.0018,0.2466,0,0.0728,0.139,0.0002,0.2322,0.7624,0.1197,1.8011,4.764,0.6167,7.2998
234,0.0101,0.2182,0.6551,0.0581,0.0037,0.2409,0.0001,0.0692,0.1338,0.0002,0.2175,0.741,0.1248,1.7595,4.7738,0.6189,7.2712
235,0.0098,0.2274,0.6492,0.0616,0.0018,0.2883,0.0001,0.0732,0.1314,0.0002,0.2135,0.787,0.1247,1.8101,4.7724,0.6106,7.3114
236,0.0099,0.2173,0.6444,0.0584,0.0034,0.2448,0.0001,0.0706,0.1373,0.0002,0.2252,0.7741,0.1294,1.7875,4.8424,0.6146,7.3674
237,0.0099,0.2548,0.6206,0.0525,0.0014,0.2831,0.0001,0.0654,0.1305,0.0001,0.2011,0.7428,0.1244,1.7594,4.8005,0.6163,7.2943
238,0.0094,0.2174,0.615,0.0556,0.0014,0.233,0.0001,0.0672,0.1313,0.0001,0.2075,0.7038,0.1263,1.6775,4.7774,0.6142,7.1877
239,0.0091,0.2747,0.6087,0.0553,0.0014,0.2315,0,0.0656,0.1323,0.0001,0.2061,0.7,0.1165,1.7147,4.8174,0.6191,7.2703
240,0.0091,0.0952,0.6306,0.0565,0.0017,0.2724,0.0001,0.0603,0.1221,0.0002,0.2321,0.7581,0.1226,1.6288,8.138,1.0163,10.9024
241,0.0094,0.2318,0.6329,0.0582,0.0015,0.2394,0.0001,0.0653,0.1336,0.0001,0.2031,0.7093,0.12,1.7134,4.8336,0.6249,7.2947
242,0.0091,0.2271,0.6411,0.0541,0.0033,0.2413,0.0001,0.0751,0.1372,0.0002,0.2123,0.744,0.1198,1.7523,4.8255,0.6162,7.3135
243,0.0092,0.2214,0.663,0.0611,0.0042,0.3003,0.0001,0.0766,0.1347,0.0002,0.2188,0.8144,0.1291,1.8469,4.8171,0.616,7.3997
