,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
311,0.0061,0.2099,0.5906,0.0586,0.0036,0.2344,0.0001,0.0496,0.1239,0.0002,0.0832,0.2411,0.8149,1.6324,2.3108,0.2826,4.295
312,0.0067,0.0823,0.5748,0.0696,0.0039,0.2388,0.0001,0.0502,0.1111,0.0002,0.0783,0.2387,0.812,1.4842,3.3972,0.3997,5.362
313,0.0061,0.2165,0.6082,0.056,0.0021,0.2347,0.0002,0.0451,0.1221,0.0002,0.0802,0.2471,0.8085,1.6497,2.3629,0.2881,4.3724
314,0.006,0.2094,0.5664,0.0542,0.0016,0.2157,0.0001,0.0443,0.1072,0.0001,0.079,0.2444,0.7572,1.5486,2.3494,0.2861,4.2526
315,0.0063,0.2108,0.5461,0.052,0.0015,0.2603,0.0001,0.0502,0.1217,0.0001,0.1229,0.2456,0.8637,1.6315,2.3486,0.2798,4.3282
316,0.006,0.2051,0.542,0.0523,0.0014,0.2154,0.0001,0.0438,0.1215,0.0001,0.0773,0.2422,0.7627,1.5203,2.4703,0.283,4.3425
317,0.0063,0.2028,0.5906,0.0537,0.0017,0.2244,0.0002,0.0456,0.1285,0.0002,0.0782,0.2547,0.8063,1.6137,2.3551,0.2845,4.3242
318,0.0062,0.209,0.5713,0.0545,0.0032,0.2773,0.0002,0.0462,0.1106,0.0002,0.1264,0.2436,0.8805,1.6768,2.298,0.2862,4.3298
319,0.006,0.2051,0.5604,0.0621,0.0023,0.2276,0.0001,0.0477,0.1251,0.0002,0.0786,0.2261,0.7854,1.5662,2.2842,0.2802,4.2004
320,0.0067,0.1107,0.5647,0.0595,0.0027,0.2324,0.0001,0.0474,0.1111,0.0002,0.0767,0.2554,0.806,1.501,3.0924,0.2808,4.9515
