,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
94,0.041,0.3337,1.033,0.0592,0.0041,0.3367,0.0001,0.0814,0.2123,0.0003,0.4711,1.1843,0.1445,2.7486,24.8212,4.9664,33.0078
95,0.0409,0.3695,1.0548,0.0535,0.0029,0.338,0.0001,0.0838,0.2038,0.0002,0.4599,1.1608,0.155,2.7922,28.037,2.8683,34.1718
96,0.0325,0.2295,1.0413,0.0625,0.0017,0.317,0.0001,0.0756,0.1964,0.0002,0.452,1.1167,0.1479,2.5784,33.0122,2.8425,38.8526
97,0.0266,0.2774,1.0364,0.0513,0.0016,0.3332,0.0001,0.0935,0.2098,0.0002,0.4515,1.1594,0.1594,2.6736,28.3216,2.8555,34.3258
98,0.0399,0.33,1.1005,0.0619,0.0025,0.3316,0.0001,0.0774,0.2065,0.0002,0.4727,1.1733,0.159,2.8157,26.0842,2.8372,32.2065
99,0.0424,0.3419,1.056,0.0546,0.0028,0.3304,0.0001,0.0814,0.2103,0.0001,0.478,1.1769,0.1525,2.7834,27.4737,4.9243,35.6673
100,0.037,0.272,1.0288,0.0559,0.0015,0.318,0.0001,0.0845,0.2128,0.0002,0.4563,1.141,0.1655,2.6578,22.3773,2.8569,28.3572
101,0.034,0.3371,1.1201,0.0637,0.0029,0.3489,0.0001,0.0922,0.2206,0.0003,0.5045,1.26,0.1667,2.9347,23.4094,5.1031,31.9141
102,0.0391,0.3223,1.0615,0.0526,0.0026,0.3183,0.0001,0.072,0.2108,0.0002,0.4806,1.1529,0.1567,2.7434,22.6128,2.8605,28.6866
103,0.0416,0.3598,1.0559,0.0577,0.0042,0.3185,0.0001,0.0768,0.2078,0.0002,0.4635,1.1475,0.1466,2.7661,23.3346,2.867,29.4408
104,0.0407,0.167,1.0679,0.0539,0.0023,0.3303,0.0001,0.077,0.2049,0.0002,0.4642,1.152,0.1576,2.6013,35.8673,2.8865,41.7988
105,0.0398,0.342,1.077,0.0536,0.0032,0.3342,0.0001,0.0934,0.2131,0.0002,0.4754,1.1955,0.1589,2.8291,25.2019,2.8899,31.3927
106,0.0411,0.48,1.067,0.058,0.0022,0.3277,0.0001,0.0871,0.2105,0.0002,0.4634,1.1678,0.1305,2.8988,24.5055,2.8888,30.7672
107,0.0386,0.3284,1.0468,0.0506,0.002,0.3255,0,0.094,0.2122,0.0001,0.4618,1.1591,0.159,2.7439,23.749,3.0864,30.0579
108,0.0379,0.4224,1.09,0.0581,0.0047,0.3334,0,0.0825,0.2083,0.0002,0.4562,1.1617,0.1543,2.8808,22.0633,2.879,28.2964
109,0.0408,0.3316,1.0336,0.0505,0.0016,0.3154,0.0001,0.0756,0.2081,0.0002,0.4561,1.1166,0.1513,2.6853,22.1729,2.8826,28.2092
