,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
412,0.7695,1.7729,14.1871,0.1632,0.0045,0.8055,0.0001,0.0753,2.7465,0.0002,8.3791,7.615,19.8147,36.5625,646.286,89.1633,784.861
413,0.7725,1.5721,12.7673,0.0718,0.0045,0.8316,0.0001,0.0747,2.7426,0.0003,8.4995,7.6272,19.8789,35.0118,649.581,89.4558,786.988
414,0.7728,1.6076,13.2012,0.0646,0.0039,0.7779,0.0003,0.0706,2.7592,0.0001,8.4007,7.593,19.6836,35.2833,649.041,89.3465,786.333
415,0.7682,1.7814,13.1321,0.0639,0.0048,1.0619,0.0001,0.0848,2.7633,0.0001,8.4349,7.597,20.0271,35.7262,644.544,89.1574,782.336
416,0.7913,1.0461,13.7573,0.058,0.0047,0.7303,0.0001,0.0684,2.7638,0.0002,8.5151,7.6578,19.8128,35.424,647.189,89.0776,782.411
417,0.7763,1.5045,13.0518,0.0785,0.0055,0.9036,0.0002,0.0791,2.7533,0.0002,8.5533,7.6023,20.0015,35.3527,646.028,88.883,783.02
418,0.738,1.6325,13.1559,0.0644,0.003,1.0246,0.0001,0.0899,2.7579,0.0002,8.5298,7.6109,20.1035,35.6481,643.535,89.1641,781.159
419,0.7422,1.5782,13.1332,0.0643,0.0043,1.0622,0.0001,0.0901,2.7601,0.0002,8.5791,7.6371,20.2222,35.6962,646.165,88.9967,783.695
420,0.783,1.6147,13.1256,0.0773,0.0033,1.0267,0.0001,0.0885,2.742,0.0003,8.5106,7.6017,20.075,35.6167,645.899,89.2704,783.788
421,0.7776,1.7736,14.5984,0.0655,0.0042,0.7952,0.0001,0.0816,2.7466,0.0003,8.4782,7.6104,19.8056,36.9771,646.811,89.5128,786.241
422,0.7482,1.5747,12.8517,0.0639,0.003,0.8268,0.0001,0.074,2.7248,0.0003,8.4956,7.6065,19.818,35.0108,645.812,95.3961,789.13
423,0.7631,1.577,12.7832,0.0638,0.0039,0.794,0.0001,0.0834,2.7543,0.0002,8.6097,7.6016,19.9336,35.0742,644.317,88.9378,781.095
424,0.8144,1.0611,13.1439,0.0577,0.0037,0.732,0.0002,0.0767,2.7256,0.0002,8.6085,7.655,19.8752,34.909,647.383,89.5128,782.458
425,0.74,1.5629,13.056,0.0656,0.0041,1.0644,0.0001,0.0874,2.7579,0.0002,8.71,7.6046,20.3175,35.697,647.616,89.3049,785.437
426,0.7452,1.7533,14.3916,0.0625,0.004,0.8032,0.0002,0.1444,2.7323,0.0002,8.4008,7.6171,19.7946,36.7047,665.03,89.5684,804.193
427,0.7735,1.5667,12.788,0.0629,0.0057,0.7966,0.0001,0.0726,2.7394,0.0002,8.6234,7.6022,19.9271,35.0764,651.895,89.2399,788.994
428,0.781,1.6263,13.1825,0.062,0.0045,1.0171,0.0001,0.0894,2.7508,0.0002,8.4687,7.6053,20.0247,35.6343,646.243,89.035,783.755
429,0.7342,1.6357,13.1976,0.0651,0.0064,1.0616,0.0001,0.0873,2.7677,0.0003,8.7398,7.6411,20.3958,35.9803,647.695,88.8651,785.421
430,0.7389,1.6214,13.0358,0.0629,0.0039,1.031,0.0001,0.088,2.7506,0.0002,8.3675,7.6136,19.9421,35.3581,646.119,93.0406,787.353
431,0.7664,1.9185,14.0247,0.0576,0.0073,0.859,0.0001,0.0771,2.7506,0.0002,8.6058,7.603,19.9859,36.7126,645.948,89.3747,785.197
432,0.8105,1.0571,13.7192,0.0669,0.0038,0.7652,0.0001,0.0829,2.7619,0.0001,8.6029,7.6641,19.9576,35.5582,648.183,89.1595,783.595
433,0.786,1.5826,13.0653,0.0616,0.0025,1.0461,0.0002,0.0857,2.7671,0.0003,8.5429,7.6265,20.1586,35.615,645.997,89.1252,783.489
434,0.7718,1.8409,14.4203,0.0632,0.0028,0.9177,0.0001,0.0772,2.7486,0.0002,8.3503,7.6147,19.7977,36.8495,645.194,89.417,784.316
435,0.7735,1.7556,13.1605,0.0657,0.0045,1.087,0.0002,0.0901,2.7564,0.0002,8.6647,7.6014,20.2934,36.0028,650.643,89.3083,788.909
436,0.7873,1.7001,14.3118,0.0595,0.0041,0.8016,0.0001,0.0799,2.7543,0.0003,8.5714,7.6022,19.8998,36.7201,649.304,89.5219,788.703
437,0.7576,1.6639,12.73,0.0633,0.0067,0.8339,0.0001,0.0784,2.7465,0.0003,8.5024,7.6167,19.8724,35.0461,650.755,89.9208,788.7
438,0.7716,1.6232,13.2492,0.0673,0.0041,1.0223,0.0001,0.0873,2.7521,0.0003,8.5761,7.6292,20.161,35.8224,644.432,91.3668,784.384
439,0.735,1.6153,13.1305,0.0637,0.0048,1.0479,0.0003,0.0863,2.7925,0.0002,8.5376,7.6036,20.1621,35.6652,644.176,89.4205,782.233
440,0.7793,1.0655,13.4433,0.0555,0.0044,0.7403,0.0001,0.0732,2.7446,0.0003,8.4651,7.6644,19.7622,35.0665,646.87,89.3261,782.059
441,0.7778,1.6198,13.1603,0.0645,0.0051,1.0708,0.0001,0.0861,2.7606,0.0002,8.5607,7.5994,20.1639,35.7428,643.342,89.3215,781.401
442,0.7989,1.6253,13.21,0.0589,0.0038,1.0084,0.0001,0.0831,2.7326,0.0001,8.6419,7.6004,20.145,35.8016,642.838,88.9898,780.5
443,0.7911,1.7689,13.7881,0.0561,0.0024,0.8158,0.0001,0.0686,2.7575,0.0002,8.7277,7.6084,20.0585,36.4261,649.619,89.06,787.85
444,0.7814,1.6093,13.019,0.0671,0.004,1.0076,0.0002,0.091,2.7764,0.0002,8.4812,7.6035,20.0532,35.4833,650.385,89.4718,788.207
445,0.7705,1.7694,14.3065,0.0657,0.0044,0.864,0.0001,0.0783,2.75,0.0002,8.3779,7.6452,19.8121,36.6785,648.359,89.1648,787.227
446,0.7361,1.6172,12.74,0.0587,0.0037,0.8777,0.0001,0.077,2.7564,0.0002,8.6184,7.6086,20.0237,35.1373,646.23,93.0081,787.343
447,0.7752,1.6192,13.1927,0.0725,0.0044,1.0641,0.0004,0.0896,2.7443,0.0002,8.3694,7.6275,20.0046,35.6126,644.508,89.3315,782.379
448,0.8028,1.0645,13.7609,0.063,0.0037,0.7632,0.0001,0.0679,2.7559,0.0001,8.7657,7.64,20.0704,35.7147,643.52,88.2696,778.175
449,0.7544,1.5674,12.7821,0.0617,0.0045,0.799,0.0001,0.074,2.7493,0.0002,8.4272,7.5999,19.7398,34.8647,649.299,88.6968,785.783
450,0.7322,1.6087,12.7837,0.0685,0.0023,0.7766,0.0001,0.0761,2.7987,0.0001,8.4637,7.5997,19.8004,34.9429,642.71,89.9827,780.535
451,0.7594,1.5762,12.9912,0.0609,0.0048,0.9844,0.0001,0.0883,2.7384,0.0004,8.5294,7.6025,20.0278,35.3717,650.941,89.1559,788.596
452,0.7716,1.6299,13.1286,0.065,0.0036,1.0111,0.0001,0.0846,2.7562,0.0001,8.4499,7.6207,20.013,35.5611,645.976,89.0817,783.277
453,0.7474,1.7594,14.2817,0.0672,0.004,0.7992,0.0003,0.0745,2.7408,0.0001,8.6638,7.6288,20.0029,36.8119,646.073,89.4489,785.293
454,0.7406,1.6407,12.7098,0.0683,0.0027,0.7848,0.0001,0.0714,2.7377,0.0002,8.6032,7.6112,19.8959,35.0072,643.96,89.4637,781.202
455,0.7474,1.62,13.2539,0.0724,0.0043,1.0351,0.0002,0.0839,2.7515,0.0003,8.7222,7.62,20.316,35.9567,643.555,88.9611,781.347
456,0.8101,1.0402,13.0899,0.0531,0.0036,0.7237,0.0002,0.069,2.7494,0.0002,8.3741,7.736,19.7193,34.6755,649.278,88.7699,783.685
457,0.7774,1.5925,12.7464,0.0546,0.0042,0.865,0.0001,0.0722,2.7611,0.0003,8.5048,7.6189,19.9057,35.0383,644.416,95.3865,787.725
458,0.7537,1.7515,12.8022,0.0658,0.0047,0.8322,0.0001,0.1293,2.7525,0.0002,8.4891,7.6037,19.8997,35.2246,643.398,89.6675,781.169
459,0.7459,1.6136,13.3338,0.064,0.0049,1.1131,0.0001,0.0909,2.7541,0.0002,8.4145,7.636,20.1016,35.8122,651.621,89.7719,789.955
460,0.7476,1.6383,13.1212,0.0687,0.0037,1.0718,0.0002,0.0877,2.7556,0.0002,8.4407,7.6097,20.0606,35.5901,645.995,88.7619,783.296
461,0.7428,1.7774,14.2655,0.0594,0.003,0.7924,0.0001,0.081,2.7431,0.0002,8.6936,7.6078,20.0038,36.81,653.787,88.6785,792.221
462,0.7734,1.6186,12.5977,0.0614,0.0042,0.8543,0.0002,0.0808,2.7332,0.0002,8.4405,7.6032,19.8055,34.8161,644.626,90.129,782.403
463,0.7434,1.6111,12.9345,0.0684,0.0041,0.7928,0,0.0733,2.7591,0.0001,8.6731,7.598,19.9911,35.3016,643.294,89.2963,780.747
464,0.7949,1.0342,13.3524,0.0548,0.0038,0.7275,0.0001,0.0729,2.7347,0.0003,8.4378,7.6322,19.6742,34.8714,648.03,88.7103,782.461
465,0.7832,1.8264,13.1636,0.0638,0.0048,1.0326,0.0001,0.0901,2.7702,0.0002,8.4257,7.6067,20.0202,35.8165,645.877,90.5944,785.159
466,0.7282,1.775,14.4835,0.0624,0.0048,0.798,0.0001,0.0776,2.7659,0.0002,8.6869,7.6108,20.0339,37.0399,642.984,88.9393,781.807
467,0.7808,1.5798,12.3777,0.0607,0.0024,0.7664,0.0001,0.0729,2.7509,0.0002,8.6883,7.6312,19.9905,34.7534,647.501,88.6539,783.554
468,0.7754,1.6018,13.1897,0.0633,0.0046,1.0224,0.0002,0.0884,2.7285,0.0003,8.5314,7.6115,20.0759,35.6627,648.458,89.1256,786.131
469,0.7909,1.5776,13.1047,0.0639,0.0046,1.013,0.0002,0.0899,2.7521,0.0001,8.486,7.6011,20.0331,35.5277,647.825,89.0424,785.165
470,0.7438,1.7555,14.4806,0.0647,0.007,0.7975,0.0001,0.0742,2.7301,0.0002,8.6707,7.6007,19.9727,36.9703,643.47,89.0062,782.335
471,0.7437,1.5855,12.8935,0.0595,0.0043,0.9072,0.0001,0.0763,2.7627,0.0003,8.5511,7.5982,19.9851,35.2278,647.339,88.8881,784.256
472,0.7946,1.0579,13.5871,0.0737,0.0037,0.7572,0.0001,0.0837,2.763,0.0001,8.5313,7.728,19.9503,35.403,649.579,87.7391,783.441
473,0.7818,1.5983,13.1085,0.0605,0.0037,1.0177,0.0001,0.0859,2.773,0.0002,8.5249,7.5972,20.0796,35.5817,644.207,92.5195,784.953
474,0.7783,1.756,14.1716,0.0661,0.0045,0.7846,0.0001,0.146,2.7543,0.0002,8.2847,7.6063,19.6716,36.3961,643.394,88.3168,780.805
475,0.7754,1.6801,12.8769,0.0613,0.0028,0.7835,0.0001,0.0712,2.7402,0.0002,8.4323,7.6043,19.7148,35.066,646.344,88.5585,782.904
