,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.4434,0.745,9.2491,0.0681,0.0033,0.7516,0.0001,0.2254,1.173,0.0002,3.2795,5.5098,0.4099,16.3669,221.823,31.8385,275.557
1,0.4545,0.7347,8.0631,0.0713,0.0037,0.744,0.0001,0.2135,1.1439,0.0003,3.2658,5.4585,0.4178,15.1459,215.702,31.9775,269.63
2,0.4881,0.9076,8.0609,0.0646,0.0045,0.7095,0.0001,0.2243,1.1382,0.0004,3.2647,5.4306,0.4093,15.3177,203.487,32.3721,257.901
3,0.4894,1.3904,8.1531,0.0718,0.0042,0.761,0.0001,0.218,1.1546,0.0003,3.2699,5.5005,0.4116,15.9664,204.867,32.5673,260.248
4,0.4614,1.2849,8.4885,0.0676,0.0042,0.7887,0.0002,0.225,1.1799,0.0004,3.2648,5.5552,0.4016,16.2139,203.18,32.3771,258.708
5,0.4573,1.3006,8.4272,0.0737,0.004,0.7636,0.0002,0.2226,1.1748,0.0004,3.3282,5.5926,0.4198,16.2146,202.195,32.1257,257.398
6,0.4871,1.3219,8.0516,0.0708,0.0042,0.7501,0.0001,0.2226,1.1553,0.0004,3.2636,5.4891,0.4114,15.7841,225.827,36.2186,284.545
7,0.487,1.323,8.1376,0.0683,0.0028,0.7893,0.0001,0.2288,1.1554,0.0003,3.2629,5.5289,0.4087,15.906,216.919,33.7306,273.501
8,0.4594,0.7744,9.3867,0.0673,0.0034,0.7536,0.0001,0.2404,1.1203,0.0002,3.2374,5.4311,0.4008,16.465,199.592,32.8893,254.815
9,0.4643,1.2344,7.984,0.0684,0.0023,0.7973,0.0001,0.213,1.1544,0.0002,3.2622,5.5094,0.4227,15.6307,204.234,39.1004,265.952
10,0.4604,1.3378,8.2064,0.0701,0.0026,0.7809,0.0001,0.2147,1.1697,0.0002,3.2911,5.5415,0.4023,15.9622,232.709,51.719,307.495
11,0.4907,1.2967,8.2974,0.0711,0.0032,0.8129,0.0002,0.221,1.1807,0.0002,3.2727,5.5795,0.4208,16.1035,203.295,32.9839,259.387
12,0.4854,1.3035,7.828,0.0754,0.005,0.7949,0.0001,0.2217,1.1596,0.0003,3.2715,5.552,0.3995,15.5859,202.413,33.1527,258.154
13,0.485,1.3088,8.0944,0.0695,0.0048,0.7452,0.0002,0.2146,1.1506,0.0003,3.2857,5.4893,0.408,15.8094,203.111,33.1753,259.24
14,0.4623,1.3003,8.2207,0.0743,0.0043,0.7984,0.0001,0.288,1.1644,0.0002,3.267,5.62,0.4197,16.0434,204.432,33.1187,260.616
15,0.454,1.316,8.2018,0.0671,0.0035,0.8861,0.0001,0.2189,1.1719,0.0006,3.303,5.6758,0.4227,16.083,222.558,33.7154,279.388
16,0.4995,0.7938,9.224,0.0636,0.0036,0.8286,0.0001,0.2204,1.1476,0.0001,3.2718,5.5444,0.4111,16.4841,203.307,33.206,258.954
17,0.4579,1.2502,8.2419,0.0658,0.0041,0.7663,0.0001,0.2138,1.1727,0.0003,3.2927,5.539,0.4132,15.9278,206.852,33.3446,263.185
18,0.4543,1.2694,8.0737,0.081,0.0036,0.7983,0.0001,0.2142,1.1818,0.0003,3.2844,5.5766,0.41,15.8022,210.051,34.3355,267.177
19,0.453,1.2821,8.058,0.069,0.004,0.802,0,0.2144,1.1781,0.0003,3.2817,5.5614,0.3992,15.7655,224.353,33.9972,281.212
20,0.4866,1.3392,8.2316,0.0729,0.0036,0.8432,0.0001,0.2138,1.2029,0.0003,3.3133,5.6715,0.4004,16.1515,243.155,33.8558,300.185
21,0.4908,1.4983,8.1308,0.0704,0.0053,0.7534,0.0002,0.2175,1.1599,0.0003,3.3109,5.5408,0.4134,16.0947,225.604,34.2104,282.947
