,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
297,2.4269,8.3493,1.0414,12.0368
298,2.4233,13.126,1.0591,16.8369
299,2.4666,10.7798,1.0491,14.5217
300,2.4137,10.5196,1.0507,14.2047
301,2.4134,10.5153,1.0544,14.2051
302,2.4669,10.1712,1.04,13.8977
303,2.4141,8.1524,1.0368,11.8253
304,3.5215,10.5196,1.0469,15.3049
305,2.4567,8.2423,1.0449,11.9663
306,2.4528,8.3908,1.6249,12.6984
307,3.5357,12.5621,1.0398,17.3627
308,2.4455,8.2144,1.0357,11.9184
309,2.4319,8.4909,1.0489,12.1905
310,2.4378,8.2225,1.0412,11.9201
311,2.4352,8.1888,1.0573,11.9003
312,3.5446,10.2978,1.0488,15.1174
313,2.4344,8.3199,1.0455,12.0207
314,2.43,8.178,1.0414,11.8691
315,2.4408,9.663,1.0941,13.4204
316,2.4199,10.1059,1.046,13.7906
317,3.2379,12.6255,1.0565,17.1397
318,3.4943,9.2033,1.0358,13.9497
319,2.607,10.1064,1.0475,13.9832
320,3.5634,10.26,1.0393,15.0805
321,2.4368,8.204,1.0399,11.8968
322,2.423,8.306,1.0445,11.9934
323,2.416,8.324,1.0994,12.0591
324,2.4206,8.2218,1.0482,11.9117
325,2.4298,8.1801,1.042,11.8703
326,2.4335,8.1461,1.0392,11.842
327,2.4417,8.2129,1.0406,11.9119
328,3.5489,10.4038,1.1097,15.2772
329,2.4415,8.3419,1.0468,12.0525
330,2.4346,8.2693,1.053,11.9766
331,2.4497,8.2875,1.0513,12.0097
332,2.459,8.1387,1.067,11.8877
333,2.4286,8.1694,1.0499,11.8644
334,2.4689,8.1502,1.0459,11.8802
335,2.4405,10.0159,1.0402,13.7155
336,3.6572,10.665,1.7509,16.2924
337,3.3768,8.2704,1.0514,12.9202
338,3.164,13.5152,1.6487,18.5518
339,3.4482,9.0242,1.05,13.7456
340,2.4401,8.1676,1.0434,11.87
341,2.4412,9.4929,1.0446,13.197
342,2.4582,8.747,1.0448,12.4721
343,2.4371,9.6432,1.0459,13.3474
344,3.701,10.157,1.0407,15.1343
345,3.3086,8.6985,1.0438,13.2697
346,2.4637,8.6545,1.0342,12.3723
347,2.4665,10.4549,1.7878,14.9284
348,3.3469,13.765,1.7038,19.0375
349,3.3941,8.8119,1.0416,13.4672
350,2.422,8.8323,1.0359,12.5098
351,2.4434,9.4707,1.6869,13.8197
352,3.5083,10.0557,1.0379,14.8207
353,2.4446,9.4144,1.0454,13.1257
354,2.4329,8.9715,1.046,12.6682
355,2.4239,8.7947,1.034,12.473
356,2.4356,8.19,1.0489,11.8965
357,2.4418,8.314,1.0419,12.0189
358,2.4242,8.1727,1.0445,11.8612
359,2.4222,8.1742,1.0392,11.8533
360,3.7694,9.0112,1.037,14.0434
361,2.4261,8.2766,1.0502,11.9737
362,2.4381,8.2654,1.0411,11.9661
363,2.4457,8.1932,1.0701,11.9304
364,2.5281,8.4583,1.0668,12.278
365,2.5102,8.2416,1.0581,12.0416
366,2.4648,8.2229,1.0473,11.9589
367,2.4677,8.8152,1.0373,12.5447
368,3.7648,9.4521,1.0396,14.5131
369,2.436,8.1952,1.0345,11.8893
370,2.4459,8.1997,1.0433,11.9086
371,2.4565,8.1857,1.0399,11.9067
372,2.4299,8.1183,1.0366,11.8043
373,2.4309,8.1031,1.035,11.7888
374,2.4312,8.0932,1.0401,11.7856
375,2.4146,8.0974,1.0346,11.7646
376,3.5698,9.551,1.0322,14.3731
