,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
453,0.0956,0.8614,2.5162,0.0565,0.0036,0.3935,0.0001,0.0632,0.4447,0.0002,1.1831,1.26,3.4291,6.9134,90.0276,9.7797,108.465
454,0.0967,0.8717,2.5413,0.0573,0.0017,0.3907,0.0001,0.0633,0.4441,0.0002,1.1696,1.2541,3.4023,6.9253,72.298,9.7787,90.738
455,0.1297,0.8385,2.6303,0.0517,0.0016,0.4246,0.0001,0.0536,0.4484,0.0002,1.2204,1.2568,3.4709,7.0774,72.4419,9.7871,91.0281
456,0.1293,0.3145,2.2785,0.0619,0.002,0.3772,0.0001,0.0582,0.4474,0.0002,1.1752,1.2368,3.3833,6.1205,74.6672,9.868,92.257
457,0.1021,0.8555,2.5634,0.0594,0.0021,0.3887,0.0001,0.0604,0.4602,0.0002,1.1678,1.2599,3.4191,6.9534,72.1703,9.7577,90.674
458,0.0968,0.9247,2.2928,0.06,0.0036,0.4333,0.0002,0.0584,0.4464,0.0002,1.2203,1.2655,3.5089,6.8343,72.4444,9.9461,90.9671
459,0.0966,0.9289,2.4484,0.0583,0.0021,0.3948,0.0001,0.0626,0.4466,0.0002,1.1683,1.2585,3.4124,6.9004,72.551,10.0114,91.1982
460,0.0954,0.811,2.5278,0.0642,0.0037,0.3956,0.0002,0.0593,0.4508,0.0002,1.2007,1.2554,3.4532,6.9009,72.4208,9.7849,90.8289
461,0.1239,0.8426,2.6621,0.0564,0.0056,0.3982,0.0002,0.0586,0.458,0.0002,1.1818,1.2745,3.4764,7.1157,72.4203,9.754,91.0303
462,0.1247,0.8438,2.584,0.054,0.0028,0.3908,0.0002,0.0594,0.4517,0.0002,1.1758,1.2735,3.429,6.993,72.457,9.8087,90.9912
463,0.1241,0.9255,2.3916,0.0523,0.0016,0.3837,0.0001,0.0534,0.4564,0.0001,1.1832,1.2553,3.3965,6.8496,72.5104,9.7842,90.892
464,0.1153,0.3162,2.3344,0.0605,0.0023,0.4377,0.0001,0.0577,0.4675,0.0003,1.2258,1.264,3.5395,6.321,83.91,15.0609,107.188
465,0.1298,0.8807,2.353,0.0562,0.0021,0.4328,0.0001,0.0644,0.4496,0.0002,1.2344,1.2711,3.536,6.9125,85.4813,17.1352,111.322
466,0.0956,0.8579,2.6542,0.065,0.0034,0.3912,0.0001,0.0572,0.4478,0.0002,1.2022,1.2793,3.4683,7.089,83.9665,16.6857,109.471
467,0.1241,0.852,2.4179,0.0537,0.0029,0.3926,0.0001,0.0553,0.4597,0.0003,1.2093,1.2664,3.4636,6.8703,78.7908,11.9142,99.2991
468,0.1266,0.9066,2.3125,0.0563,0.0032,0.3976,0.0001,0.0587,0.4516,0.0003,1.1969,1.2437,3.4298,6.7895,91.7227,9.8277,110.07
469,0.1245,0.8699,2.6306,0.0532,0.0026,0.3988,0.0001,0.057,0.4623,0.0002,1.1859,1.2694,3.4517,7.0883,74.5597,10.1873,93.5723
470,0.1244,0.8642,2.5262,0.0526,0.0061,0.3822,0.0001,0.0546,0.447,0.0002,1.183,1.2607,3.4088,6.9376,72.2418,9.731,90.6432
471,0.1235,0.8443,2.6298,0.0595,0.0041,0.3991,0.0001,0.062,0.4503,0.0002,1.1856,1.2567,3.4405,7.0491,72.3669,9.7779,90.9315
472,0.1203,0.3245,2.2828,0.0531,0.0023,0.388,0.0001,0.0614,0.4313,0.0002,1.1716,1.2403,3.3699,6.1135,81.1053,9.8215,98.9056
473,0.101,0.8392,2.6389,0.0545,0.0024,0.4272,0.0001,0.054,0.4501,0.0003,1.225,1.2724,3.5087,7.1026,72.1958,9.7951,90.8179
474,0.0977,0.7969,2.379,0.0605,0.0037,0.4405,0.0001,0.0586,0.4468,0.0002,1.242,1.255,3.5297,6.8163,72.6251,9.823,91.0082
475,0.0965,0.9365,2.4156,0.0513,0.0015,0.383,0.0001,0.0552,0.4592,0.0002,1.1911,1.2613,3.4163,6.8756,72.4733,9.7404,90.7502
