,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.0217,0.1147,0.7657,0.0481,0.0021,0.2458,0.0002,0.052,0.1328,0.0002,0.115,0.3328,0.9503,1.8636,8.8411,1.378,12.27
1,0.0177,0.2434,0.7652,0.0525,0.0038,0.2588,0.0001,0.0583,0.1432,0.0002,0.1293,0.3352,0.9998,2.0376,6.5253,0.757,9.5327
2,0.0162,0.2257,0.7141,0.0575,0.0027,0.2326,0.0001,0.0456,0.1367,0.0001,0.1287,0.3348,0.9517,1.9171,4.894,0.7878,7.7982
3,0.0152,0.2397,0.7001,0.0512,0.0016,0.2224,0.0001,0.0508,0.137,0.0002,0.1242,0.3169,0.9168,1.8825,4.8872,0.7652,7.7328
4,0.0159,0.3062,0.6829,0.052,0.0014,0.2278,0.0001,0.0446,0.1346,0.0001,0.1218,0.3036,0.8947,1.906,5.5148,0.7635,8.3852
5,0.0156,0.364,0.7023,0.0431,0.0017,0.2325,0.0001,0.053,0.1447,0.0003,0.142,0.344,0.9801,2.0709,4.9175,0.7672,7.9582
6,0.0161,0.2241,0.7474,0.0536,0.003,0.2398,0.0001,0.0541,0.142,0.0002,0.1267,0.3474,0.9856,1.9838,5.0296,0.837,8.0509
7,0.0154,0.2433,0.7141,0.0526,0.0036,0.3096,0.0002,0.0523,0.1347,0.0001,0.1695,0.3202,1.0639,2.0458,4.9809,0.8745,8.1124
8,0.0213,0.28,0.754,0.0561,0.0041,0.2786,0.0002,0.05,0.1306,0.0002,0.1626,0.3375,1.0416,2.1103,7.7524,0.8971,10.995
9,0.0176,0.2229,0.7606,0.0567,0.002,0.3071,0.0002,0.0543,0.1352,0.0002,0.1728,0.3215,1.0661,2.0792,6.2153,0.8906,9.4063
10,0.0213,0.2749,0.7195,0.0617,0.0037,0.2906,0.0001,0.0456,0.147,0.0002,0.1752,0.3213,1.067,2.0908,5.0351,0.9014,8.2441
11,0.0164,0.2933,0.7264,0.0533,0.0018,0.2985,0.0002,0.0532,0.1507,0.0002,0.1792,0.3211,1.0793,2.1277,5.0822,0.8878,8.311
12,0.0159,0.2309,0.7133,0.0597,0.004,0.2455,0.0001,0.056,0.1403,0.0004,0.1268,0.3264,0.98,1.9503,5.1677,0.8696,8.201
13,0.0158,0.2381,0.7272,0.0541,0.0031,0.2921,0.0001,0.0556,0.137,0.0002,0.1695,0.3192,1.0505,2.041,5.2534,0.8641,8.3718
14,0.0182,0.24,0.7358,0.0619,0.0036,0.294,0.0001,0.047,0.157,0.0002,0.1729,0.346,1.1031,2.1062,5.3409,0.8567,8.5157
15,0.0154,0.2419,0.7202,0.0575,0.0017,0.3051,0.0002,0.0573,0.1521,0.0003,0.1738,0.3214,1.0891,2.0776,5.3083,0.8524,8.4491
16,0.0203,0.2104,0.7518,0.0513,0.0019,0.2498,0.0001,0.0487,0.1499,0.0002,0.1208,0.3385,0.9809,1.9761,9.0139,0.8698,12.093
17,0.0159,0.2377,0.7497,0.0648,0.0023,0.3117,0.0001,0.0609,0.148,0.0003,0.1792,0.3388,1.1249,2.1367,5.5059,0.8823,8.7421
18,0.017,0.2316,0.7605,0.0552,0.002,0.305,0.0001,0.0539,0.1497,0.0002,0.1807,0.3367,1.1033,2.1218,9.5884,0.8994,12.8307
19,0.0159,0.3107,0.7342,0.0565,0.0019,0.2966,0.0002,0.0512,0.1569,0.0002,0.1744,0.3263,1.0875,2.1605,8.2827,0.8912,11.549
20,0.0159,0.284,0.7152,0.057,0.0019,0.3048,0.0001,0.0544,0.1571,0.0001,0.1809,0.3281,1.1038,2.1302,6.6541,1.6474,10.6493
21,0.0162,0.3059,0.7203,0.0584,0.0039,0.316,0.0002,0.0584,0.1525,0.0002,0.1834,0.3561,1.1484,2.2016,6.0358,0.9091,9.3689
22,0.0174,0.2883,0.7361,0.0569,0.0026,0.3016,0.0001,0.0607,0.1573,0.0003,0.1855,0.3206,1.1051,2.1547,6.8779,0.91,10.1694
23,0.0157,0.3021,0.7254,0.0524,0.0018,0.2514,0.0001,0.0521,0.1538,0.0001,0.1319,0.3199,0.9805,2.0342,7.0687,1.2226,10.5399
24,0.0203,0.2078,0.7887,0.0594,0.0028,0.2943,0.0001,0.0474,0.1502,0.0002,0.1712,0.3348,1.0817,2.1095,10.6311,1.4843,14.4665
25,0.0171,0.3487,0.7707,0.0545,0.0019,0.3062,0.0001,0.049,0.156,0.0002,0.1725,0.3373,1.0981,2.2444,10.7234,1.7212,14.9099
26,0.0163,0.3123,0.7407,0.0552,0.0036,0.2551,0.0001,0.0517,0.1548,0.0002,0.1368,0.3338,1.014,2.0931,6.1149,0.9118,9.3325
27,0.017,0.4448,0.717,0.0573,0.002,0.3136,0.0001,0.0556,0.153,0.0003,0.1757,0.306,1.0813,2.2688,6.5419,0.9285,9.9548
28,0.0155,0.3039,0.774,0.0582,0.0042,0.3388,0.0004,0.0523,0.164,0.0003,0.1919,0.3804,1.2168,2.3216,8.1846,0.9348,11.683
29,0.0156,0.2953,0.733,0.055,0.0015,0.2935,0,0.0437,0.1464,0.0003,0.1766,0.3324,1.0665,2.117,8.2421,0.9199,11.4909
30,0.0188,0.3205,0.7446,0.0502,0.0018,0.2688,0.0001,0.0561,0.1593,0.0002,0.1305,0.3311,1.0174,2.111,8.1647,0.959,11.4478
31,0.0145,0.2987,0.7456,0.0556,0.0032,0.3237,0.0001,0.0559,0.1558,0.0003,0.177,0.3216,1.1127,2.1836,6.6886,1.7716,10.8547
32,0.0223,0.2087,0.7481,0.0575,0.0036,0.3252,0.0001,0.0483,0.1481,0.0003,0.1729,0.3413,1.1198,2.1094,11.5097,1.7797,15.6331
33,0.0164,0.3268,0.7636,0.0546,0.0023,0.3223,0.0001,0.0488,0.1591,0.0002,0.18,0.3452,1.1313,2.2487,6.9232,0.9658,10.4072
34,0.0166,0.2963,0.7236,0.0578,0.0058,0.3351,0.0001,0.0556,0.1625,0.0002,0.1811,0.3232,1.1417,2.1893,7.0155,1.6884,11.1116
35,0.0156,0.2165,0.7307,0.0554,0.002,0.314,0.0001,0.0496,0.1568,0.0003,0.1839,0.3483,1.1305,2.1028,7.8629,0.9641,11.1448
36,0.0174,0.3101,0.7237,0.0552,0.0022,0.3134,0.0001,0.0454,0.159,0.0002,0.1702,0.3511,1.1177,2.1789,6.9447,0.9826,10.3159
