Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
1.4286,2.2585,0.8626,5.9267,0.223,5.1261,,11.2806,0.0002,0.0001,0.3162,5.6497,,20.3907,,21.8284,379.619,61.1076,,478.599
1.4123,2.3507,1.2153,5.9112,0.266,4.5982,,10.7846,0.0002,0.0002,0.3176,5.6686,,20.3593,,21.7805,389.056,60.9908,,487.853
1.4216,2.3039,0.8724,5.9635,0.2482,5.2181,,11.4409,0.0003,0.0001,0.3096,5.6896,,20.6378,,22.0684,384.149,61.5221,,483.76
1.2727,1.5584,1.0555,6.2148,0.3197,4.8191,,11.3622,0.0002,0.0001,0.5226,5.6847,,20.1916,,21.4741,381.062,60.8153,,476.896
1.406,2.2245,0.855,6.0371,0.2328,5.1626,,11.4373,0.0001,0.0001,0.3151,5.7004,,20.5511,,21.9686,393.377,61.4231,,492.681
1.4165,2.3958,1.3557,6.0418,0.1972,3.9971,,10.2404,0.0002,0.0002,0.3049,5.709,,20.0273,,21.4529,387.706,61.6666,,486.712
1.4341,2.1423,0.8707,5.9646,0.242,5.0933,,11.3061,0.0003,0.0002,0.315,5.733,,20.3853,,21.8281,396.928,61.9101,,496.838
1.4112,2.4373,1.3752,6.0415,0.251,4.2359,,10.5377,0.0003,0.0002,0.3194,5.7183,,20.405,,21.8251,393.048,62.3755,,493.236
1.4515,2.4108,0.8475,6.1055,0.2289,5.1903,,11.5291,0.0003,0.0004,0.3157,5.739,,20.8605,,22.3218,401.796,62.4999,,502.903
1.4362,2.2726,1.1598,6.0916,0.2539,3.9735,,10.3246,0.0002,0.0005,0.4726,5.7488,,19.9908,,21.4354,397.023,62.8361,,497.505
1.4276,2.1714,0.8431,6.1104,0.2292,5.1938,,11.5379,0.0003,0.0005,0.3238,5.785,,20.6754,,22.112,402.958,62.9487,,504.069
1.2833,1.5677,1.0775,6.4224,0.315,4.1131,,10.859,0.0002,0.0001,0.3716,5.7951,,19.6797,,20.9732,396.696,63.0917,,494.322
1.4196,2.3311,0.8536,6.0563,0.2364,5.0936,,11.3912,0.0002,0.0001,0.3119,5.8029,,20.7173,,22.1464,404.925,62.8141,,505.744
1.4431,2.4599,1.1294,6.2976,0.3553,4.4316,,11.094,0.0003,0.0001,0.3083,5.8215,,20.8331,,22.2857,405.169,63.6392,,507.137
1.4522,2.1249,0.8572,6.2678,0.2329,5.3435,,11.8526,0.0002,0.0002,0.3324,5.8161,,21.0054,,22.4658,413.123,63.8837,,515.603
1.4253,2.4024,1.1697,6.4745,0.2698,4.2719,,11.0272,0.0002,0.0002,0.3084,5.8725,,20.8004,,22.2356,409.782,64.0511,,512.046
1.4149,2.2184,0.8656,6.2266,0.2391,5.2718,,11.7498,0.0002,0.0002,0.3234,5.8398,,21.0165,,22.4401,414.551,64.3726,,517.395
1.4461,2.2402,1.1993,6.329,0.2516,4.0707,,10.6553,0.0003,0.0003,0.4513,5.8593,,20.4187,,21.8727,415.534,64.6462,,518.131
1.4241,2.2401,0.8119,6.3935,0.2383,5.3871,,12.029,0.0003,0.0001,0.3351,5.8858,,21.3194,,22.7515,423.205,65.2899,,527.412
1.2682,1.5808,1.0623,6.5755,0.27,4.1221,,10.978,0.0002,0.0001,0.5438,5.9028,,20.0769,,21.3556,420.923,89.9956,,545.741
1.4285,2.3802,0.8322,6.422,0.2373,5.3961,,12.0614,0.0002,0.0002,0.3119,5.9106,,21.5132,,22.9541,422.574,70.2352,,531.695
1.4361,2.2137,1.1792,6.407,0.2433,4.7508,,11.4062,0.0002,0.0001,0.3115,5.9083,,21.034,,22.4775,426.653,65.9396,,530.988
1.4343,2.1279,0.8577,6.5042,0.2327,5.5783,,12.3195,0.0003,0.0003,0.3072,5.9547,,21.5811,,23.0247,435.351,66.0778,,540.578
1.4346,2.357,1.2101,6.7152,0.2977,4.1913,,11.2158,0.0002,0.0002,0.3235,5.9485,,21.0753,,22.524,431.707,65.7958,,536.023
1.4142,2.1425,0.8694,6.4478,0.2293,5.4509,,12.1369,0.0003,0.0002,0.3261,6.0174,,21.5156,,22.9381,438.438,66.693,,544.077
