0,0.0197,0.2063,0.7586,0.052,0.0023,0.2339,0.0002,0.0773,0.1405,0.0002,0.264,0.7911,0.1357,1.9264,9.605,0.9028,12.5992,
1,0.0165,0.2548,0.7335,0.057,0.0032,0.2406,0.0001,0.0687,0.1386,0.0002,0.2621,0.7888,0.134,1.9413,5.1104,0.7932,8.0425,
2,0.0165,0.2302,0.73,0.0542,0.0036,0.2352,0.0001,0.0709,0.1459,0.0002,0.2575,0.7853,0.1231,1.8955,5.315,0.7968,8.2016,
3,0.0164,0.2475,0.7361,0.0597,0.0019,0.234,0.0001,0.0686,0.1452,0.0001,0.2546,0.7802,0.1171,1.9087,5.0951,0.7879,7.9849,
4,0.0167,0.2874,0.7748,0.0454,0.0019,0.2328,0.0001,0.0659,0.1402,0.0001,0.2492,0.7517,0.1312,1.9774,5.1019,0.7975,8.0718,
5,0.0162,0.2889,0.7528,0.0456,0.0021,0.238,0.0001,0.0665,0.1445,0.0002,0.2455,0.76,0.1322,1.9613,5.2713,0.8006,8.2302,
6,0.0162,0.244,0.7336,0.0476,0.0016,0.2342,0.0001,0.0846,0.1453,0.0002,0.2556,0.7848,0.1304,1.919,5.2324,0.8836,8.2303,
7,0.0162,0.2273,0.7223,0.0569,0.0016,0.2897,0.0001,0.0622,0.1298,0.0002,0.2516,0.8015,0.1104,1.8851,5.335,0.9234,8.3557,
8,0.0277,0.1137,0.7669,0.0585,0.0026,0.2878,0.0001,0.0764,0.1393,0.0003,0.261,0.846,0.1414,1.9115,8.2514,0.9262,11.3186,
9,0.0186,0.2412,0.7816,0.054,0.0044,0.3269,0.0001,0.0895,0.1489,0.0003,0.2527,0.895,0.1236,2.0734,6.0083,0.9285,9.2334,
10,0.0174,0.2294,0.7474,0.0588,0.0023,0.2953,0.0001,0.0835,0.1547,0.0002,0.2494,0.8614,0.1229,1.9893,5.3299,0.9237,8.4604,
11,0.0175,0.2419,0.7397,0.0601,0.0033,0.2974,0.0001,0.0649,0.1445,0.0002,0.2491,0.8379,0.1207,1.9703,5.4159,0.9092,8.5148,
12,0.0175,0.234,0.7395,0.0528,0.0019,0.2467,0,0.0748,0.1402,0.0001,0.2607,0.793,0.1278,1.9242,5.4059,0.8983,8.4425,
13,0.0171,0.2374,0.7327,0.056,0.0017,0.2974,0.0001,0.0682,0.1457,0.0003,0.2565,0.843,0.1191,1.9602,5.4928,0.89,8.5498,
14,0.0172,0.2396,0.7819,0.0587,0.0029,0.3072,0.0001,0.083,0.1523,0.0002,0.2481,0.8703,0.1162,2.0374,5.5526,0.8899,8.6865,
