Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,s,Compute neighbours,Copy sorting indexes to CPU,s,neighborhood search, constraint projection,XSPH viscosity computation,s,SimStep
0.7822,1.7981,13.7894,0.0543,0.0026,0.8347,0.0001,0.3041,2.6073,0.0002,7.0735,,10.896,0.596,,27.8832,669.522,89.1178,,799.508
0.7927,1.5998,12.9245,0.0638,0.0047,1.0743,0.0001,0.3192,2.6378,0.0001,7.1731,,11.2956,0.5948,,27.2262,666.201,89.3487,,795.894
0.7867,1.7462,14.2375,0.0584,0.0023,0.8176,0.0001,0.3125,2.6359,0.0001,7.0799,,10.9264,0.5953,,28.3052,673.484,89.3846,,804.288
0.7886,1.6037,13.1103,0.0635,0.0025,0.9926,0.0001,0.3152,2.6301,0.0002,7.0858,,11.1058,0.5928,,27.2153,667.056,92.3572,,799.767
0.7893,1.5396,12.8522,0.0636,0.0028,0.8262,0.0001,0.3059,2.6494,0.0001,7.1057,,10.967,0.5915,,26.7541,669.466,89.7271,,799.032
0.7865,1.5489,12.6802,0.0575,0.0044,0.8298,0.0001,0.3069,2.6741,0.0003,7.1225,,11.0175,0.593,,26.6471,676.721,90.2406,,806.612
0.9202,1.0255,13.3647,0.0718,0.0034,0.7603,0,0.3031,2.6342,0.0001,7.1508,,10.9317,0.6013,,26.8541,666.802,89.6302,,793.949
0.7929,1.5875,12.9793,0.058,0.0026,1.053,0.0001,0.3168,2.6672,0.0001,7.1218,,11.2353,0.5955,,27.2099,668.94,89.7411,,798.986
0.7874,1.7291,13.845,0.0523,0.0025,0.8199,0.0001,0.3108,2.6552,0.0002,7.1281,,10.9823,0.6008,,27.9589,678.757,90.2653,,810.072
0.7881,1.5726,12.725,0.0599,0.0022,0.8209,0.0001,0.3024,2.6559,0.0002,7.1498,,11.0073,0.5951,,26.7021,673.913,89.6834,,803.394
0.7807,1.5954,12.6308,0.065,0.0043,0.8224,0.0002,0.3179,2.6735,0.0002,7.1498,,11.0548,0.5951,,26.6752,678.047,90.0216,,807.673
0.7878,1.5679,12.8511,0.068,0.0048,0.8261,0.0002,0.3053,2.6483,0.0002,7.1631,,11.0369,0.5961,,26.8573,675.882,90.3112,,806.107
0.8149,1.714,12.3556,0.0542,0.0023,0.8218,0.0002,0.3012,2.6371,0.0001,7.1672,,10.9996,0.6009,,26.5057,676.753,89.9502,,806.447
0.7929,1.5728,12.6597,0.0501,0.004,0.8393,0.0001,0.3121,2.6552,0.0002,7.17,,11.0509,0.593,,26.6895,676.545,90.4832,,806.64
0.7854,1.0413,13.4113,0.074,0.0043,0.7804,0.0001,0.3195,2.672,0.0002,7.1791,,11.043,0.5959,,26.8903,676.709,89.8709,,803.995
0.7923,1.5409,13.5541,0.0568,0.0024,1.0632,0.0001,0.3247,2.696,0.0002,7.174,,11.37,0.5883,,27.8631,676.343,96.4422,,813.537
0.7813,1.6678,14.1617,0.0627,0.0041,0.8771,0.0001,0.3097,2.6776,0.0003,7.1935,,11.1479,0.5958,,28.3776,676.453,90.4092,,808.278
0.7957,1.5833,12.5607,0.058,0.0044,0.8404,0.0001,0.3091,2.6767,0.0002,7.191,,11.103,0.5933,,26.6541,683.333,90.5897,,813.534
0.7898,1.5402,12.6345,0.0597,0.0047,0.866,0.0002,0.3043,2.682,0.0003,7.2014,,11.138,0.5912,,26.7112,676.902,90.7237,,807.259
0.7886,1.5206,13.4309,0.0643,0.0029,0.9104,0.0001,0.308,2.7795,0.0003,7.2022,,11.2921,0.5929,,27.645,681.652,90.6988,,813.076
0.7862,1.5394,12.6929,0.0559,0.0025,0.8249,0.0002,0.3103,2.6969,0.0001,7.1975,,11.1012,0.5944,,26.7291,681.963,91.0849,,812.773
0.7888,1.5576,12.7417,0.061,0.0043,0.8385,0.0002,0.3052,2.6786,0.0003,7.2092,,11.12,0.5929,,26.8173,679.674,90.8169,,810.348
0.7875,1.038,12.9947,0.0576,0.0036,0.7882,0.0001,0.356,2.6882,0.0001,7.2076,,11.1098,0.5925,,26.5356,680.784,90.7453,,808.553
0.7961,1.7175,12.4435,0.0573,0.0023,0.8191,0.0003,0.2983,2.6704,0.0002,7.2168,,11.0805,0.5949,,26.6561,680.565,90.7322,,810.891
0.7839,1.7346,12.7196,0.1371,0.0028,0.8373,0.0001,0.3154,2.7035,0.0002,7.2083,,11.2242,0.5887,,27.0668,677.91,97.3794,,815.305
0.791,1.5657,12.9537,0.0715,0.003,0.8359,0.0002,0.312,2.7047,0.0002,7.2269,,11.1744,0.591,,27.0953,679.044,91.0894,,810.087
0.7873,1.5752,12.8271,0.0628,0.004,0.8367,0.0002,0.32,2.7069,0.0002,7.2178,,11.1724,0.5944,,26.9751,684.65,91.0455,,815.583
0.7907,1.5652,12.6917,0.0616,0.0046,0.8437,0.0001,0.3165,2.7103,0.0002,7.2224,,11.1806,0.5935,,26.843,684.604,90.9994,,815.551
0.8068,1.7249,12.6561,0.0519,0.0026,0.8437,0.0001,0.3085,2.7113,0.0002,7.2306,,11.1683,0.5855,,26.9577,681.386,94.4085,,815.788
0.7899,1.7709,12.939,0.0595,0.0063,0.84,0.0001,0.3067,2.7136,0.0002,7.2347,,11.1835,0.5929,,27.2952,685.018,91.4057,,816.614
0.7763,1.0305,13.3015,0.118,0.0036,0.7639,0.0001,0.3112,2.694,0.0001,7.3028,,11.2035,0.594,,26.9193,683.406,91.2636,,812.191
0.7833,1.5952,13.4419,0.0603,0.0056,1.0599,0.0001,0.3191,2.76,0.0003,7.2534,,11.4829,0.6025,,27.925,686.018,90.9846,,817.869
0.7906,1.5739,12.8981,0.0572,0.0023,1.0957,0.0001,0.3146,2.7451,0.0002,7.2245,,11.4552,0.5959,,27.3282,682.392,92.3577,,815.017
0.7878,1.5364,12.809,0.0581,0.0024,1.0441,0.0001,0.3091,2.7178,0.0002,7.2516,,11.4004,0.5932,,27.1455,686.159,91.4322,,817.64
0.782,1.5742,13.0785,0.0608,0.0046,1.1453,0.0001,0.3077,2.7293,0.0003,7.2444,,11.5141,0.5945,,27.5633,680.466,91.6304,,812.736
0.8106,1.5283,12.9082,0.0605,0.0037,1.0531,0.0001,0.3229,2.7432,0.0002,7.2349,,11.4373,0.5976,,27.2993,686.028,91.6478,,818.028
0.7879,1.7462,14.2633,0.0592,0.003,0.8406,0.0004,0.3095,2.7264,0.0003,7.2596,,11.2212,0.6005,,28.6388,686.257,91.7218,,819.58
0.7894,1.5776,13.0637,0.0632,0.0053,1.0831,0.0001,0.3193,2.7393,0.0003,7.2394,,11.4747,0.5944,,27.5178,685.552,91.4418,,817.573
0.7727,1.0294,13.5568,0.0599,0.005,0.7955,0.0003,0.3139,2.7222,0.0001,7.2487,,11.1559,0.5927,,27.1218,678.867,91.1032,,807.511
0.7906,1.5213,12.7064,0.0726,0.0065,0.8998,0.0002,0.3102,2.7226,0.0002,7.2307,,11.267,0.5956,,26.8975,688.149,91.4721,,819.4
0.7944,1.4731,12.6039,0.0584,0.0049,0.8431,0.0001,0.315,2.7305,0.0003,7.2433,,11.2195,0.589,,26.7002,686.448,91.4076,,817.416
0.7919,1.5782,12.5621,0.0585,0.0042,0.8297,0.0001,0.3107,2.7289,0.0002,7.2427,,11.1939,0.5939,,26.7407,687.49,91.485,,818.728
0.8031,1.6032,12.6402,0.0764,0.0039,0.8413,0.0001,0.3122,2.72,0.0002,7.2607,,11.2372,0.5922,,26.895,681.698,92.0047,,813.784
0.7884,1.5544,12.7554,0.0607,0.0062,0.8447,0.0001,0.3057,2.7257,0.0002,7.2536,,11.2188,0.6,,26.9355,683.161,91.7562,,814.929
0.7974,1.5789,12.8763,0.0609,0.0039,0.8291,0.0002,0.3174,2.7149,0.0002,7.2397,,11.1867,0.5882,,27.0462,686.686,91.9266,,818.601
0.8088,1.5881,12.6949,0.0606,0.0044,0.841,0.0001,0.3827,2.7273,0.0003,7.2387,,11.2783,0.5925,,26.9799,688.841,91.7017,,820.56
0.7794,1.0226,13.0228,0.0609,0.0049,0.7678,0.0001,0.3257,2.7102,0.0001,7.3215,,11.2013,0.6025,,26.6419,687.393,91.7458,,816.304
0.7849,1.7239,12.9698,0.0598,0.0031,1.0729,0.0001,0.3118,2.7532,0.0002,7.3066,,11.5551,0.5954,,27.6469,683.619,92.0174,,816.116
0.7874,1.6738,14.2224,0.0625,0.004,0.8343,0.0001,0.308,2.7016,0.0003,7.2589,,11.193,0.589,,28.4858,690.4,91.4447,,823.253
0.7981,1.6633,12.9463,0.0727,0.004,1.0756,0.0001,0.3153,2.7487,0.0002,7.3373,,11.5764,0.5941,,27.5951,686.495,91.3707,,818.294
0.7843,1.8335,13.8301,0.0541,0.0032,0.8739,0.0001,0.306,2.7099,0.0002,7.2523,,11.2128,0.5954,,28.2775,686.008,91.8417,,819.136
0.7892,1.5831,13.7796,0.0631,0.0037,1.0781,0.0001,0.3173,2.7519,0.0003,7.3319,,11.5697,0.5981,,28.3398,690.073,94.2744,,825.712
0.7992,1.7241,14.1504,0.0566,0.0042,0.8295,0.0001,0.3191,2.724,0.0003,7.245,,11.2017,0.5906,,28.4829,684.549,98.0766,,824.009
0.7892,1.5568,12.8549,0.0612,0.0024,1.0619,0.0002,0.3174,2.7348,0.0002,7.2489,,11.4413,0.5941,,27.253,683.817,91.6827,,815.636
0.7834,1.0252,13.4981,0.0631,0.0034,0.7738,0.0001,0.3064,2.6947,0.0001,7.2547,,11.1049,0.5913,,27.0155,687.496,91.9568,,816.91
0.7966,1.6181,13.4117,0.0727,0.0054,0.923,0.0002,0.3066,2.7123,0.0002,7.3377,,11.3791,0.5921,,27.8171,688.401,92.0663,,821.131
0.7903,1.5751,13.1117,0.0599,0.0025,0.8179,0.0003,0.3009,2.7451,0.0002,7.2639,,11.2057,0.5903,,27.2917,685.018,95.2582,,820.496
0.7877,1.572,12.7232,0.0619,0.0039,0.811,0.0001,0.3028,2.7113,0.0002,7.2535,,11.1558,0.5891,,26.8407,684.574,92.1108,,816.562
0.7867,1.5322,12.2592,0.061,0.002,0.8127,0.0001,0.2997,2.7067,0.0002,7.2477,,11.1409,0.5926,,26.3248,690.153,92.2672,,821.655
0.8067,1.5574,12.8855,0.0539,0.0063,0.8468,0.0002,0.3774,2.7392,0.0002,7.2585,,11.304,0.5921,,27.1673,695.277,92.1348,,827.384
0.7947,1.522,12.6934,0.0603,0.0037,0.8978,0.0001,0.318,2.712,0.0003,7.2558,,11.2706,0.5987,,26.8961,693.13,92.2764,,825.187
0.7964,1.4663,12.6885,0.061,0.0028,0.8402,0.0001,0.3109,2.7204,0.0002,7.2729,,11.2284,0.595,,26.7947,689.479,92.2144,,821.422
0.9463,1.0286,13.2731,0.057,0.0036,0.7674,0.0001,0.3461,2.7115,0.0001,7.3142,,11.2098,0.5956,,27.0667,685.437,92.4488,,815.424
0.7885,1.5785,12.7689,0.0542,0.003,0.8407,0.0001,0.317,2.7284,0.0003,7.257,,11.2244,0.5941,,26.9713,694.35,92.8312,,827.231
0.7903,1.4802,12.6562,0.0698,0.0041,0.9142,0.0001,0.3117,2.7379,0.0002,7.2716,,11.3314,0.5967,,26.8723,694.007,92.6075,,826.488
0.7893,1.6238,13.5045,0.0639,0.0029,0.8548,0.0002,0.3137,2.7318,0.0001,7.267,,11.2537,0.5928,,27.7817,690.161,92.7321,,823.599
0.786,1.6444,12.2899,0.0566,0.0023,0.8057,0.0001,0.3138,2.7369,0.0002,7.2565,,11.1923,0.5972,,26.5294,688.878,92.7662,,821.226
0.8075,1.5733,12.9189,0.0593,0.0027,0.8231,0.0001,0.3032,2.7362,0.0002,7.2712,,11.208,0.5884,,27.1143,693.38,92.3012,,825.863
0.7912,1.5531,12.6356,0.0576,0.0023,0.8931,0.0001,0.3018,2.7412,0.0001,7.2797,,11.2915,0.59,,26.878,692.502,92.9032,,825.175
0.7791,1.5549,12.657,0.0581,0.0048,0.8686,0.0001,0.3174,2.7275,0.0002,7.2652,,11.2662,0.5985,,26.8707,694.461,92.4673,,826.7
0.9274,1.0252,13.5211,0.0623,0.0035,0.8037,0.0003,0.3189,2.7453,0.0001,7.3138,,11.2563,0.6068,,27.3473,685.471,92.2553,,815.557
0.7778,1.5866,12.4843,0.0567,0.0036,0.8344,0.0001,0.3087,2.7296,0.0001,7.2792,,11.2285,0.5947,,26.691,688.397,92.4997,,820.588
0.7802,1.5208,12.7438,0.0589,0.0036,0.8208,0.0001,0.3084,2.6944,0.0002,7.2793,,11.1803,0.5867,,26.8279,695.536,92.4942,,827.67
0.7867,1.5209,12.7071,0.0563,0.0035,0.8578,0.0001,0.3194,2.6934,0.0003,7.2733,,11.2251,0.5946,,26.8552,689.771,92.4141,,822.059
0.7915,1.6181,12.6923,0.0553,0.0042,0.8362,0.0002,0.3047,2.7479,0.0001,7.2827,,11.2533,0.5943,,26.9668,694.486,93.0204,,827.563
0.7993,1.574,12.8222,0.0629,0.004,0.8281,0.0001,0.3079,2.7329,0.0002,7.2834,,11.2358,0.5893,,27.0427,690.181,98.7883,,828.87
0.7926,1.5324,12.7398,0.0613,0.004,0.8293,0.0001,0.3072,2.7343,0.0002,7.288,,11.2434,0.5927,,26.9209,691.542,92.7113,,823.984
0.792,1.5526,12.6589,0.0659,0.0026,0.8309,0.0001,0.307,2.7372,0.0003,7.2995,,11.2679,0.5959,,26.8851,691.378,92.6693,,823.785
0.7749,1.0298,13.3634,0.0576,0.0043,0.8009,0.0001,0.3467,2.7422,0.0002,7.2766,,11.2407,0.6127,,27.0364,692.232,92.9499,,822.828
0.783,1.5715,12.8679,0.067,0.0026,1.0598,0.0001,0.3211,2.745,0.0002,7.2888,,11.5073,0.6035,,27.3914,689.377,98.9409,,828.589
0.786,1.5415,12.8427,0.0687,0.0029,1.0691,0.0001,0.3232,2.7656,0.0002,7.2849,,11.5371,0.5925,,27.3199,698.682,92.8958,,831.751
0.7815,1.5448,12.6932,0.0581,0.0042,0.8356,0.0001,0.3818,2.7608,0.0001,7.2773,,11.3399,0.5917,,26.9688,696.085,92.5059,,828.525
0.7857,1.5916,12.5318,0.0592,0.0024,0.8149,0.0001,0.3027,2.7583,0.0001,7.2932,,11.2449,0.6024,,26.7781,698.555,92.6702,,830.902
0.8036,1.7015,12.6806,0.0576,0.0025,0.8286,0.0002,0.3146,2.7333,0.0002,7.2853,,11.2421,0.597,,27.0453,694.852,92.7969,,827.872
0.8074,1.5605,12.8069,0.059,0.0043,0.8314,0.0001,0.3059,2.7296,0.0003,7.2958,,11.2465,0.5937,,27.0347,696.094,92.9664,,829.18
0.7913,1.5632,12.7229,0.0624,0.0042,0.8283,0.0001,0.3056,2.7397,0.0002,7.3119,,11.2772,0.592,,26.9655,692.144,93.0638,,825.185
0.784,1.0252,13.5778,0.063,0.0035,0.8,0.0001,0.3345,2.7668,0.0004,7.3141,,11.2985,0.6047,,27.3016,691.405,92.9555,,822.158
0.7889,1.5975,12.8993,0.063,0.0052,1.0648,0.0002,0.3088,2.7566,0.0002,7.2962,,11.5111,0.5998,,27.415,693.269,92.8277,,826.452
0.7841,1.5391,12.9323,0.0625,0.0039,1.0736,0.0001,0.3214,2.7654,0.0002,7.3,,11.5524,0.5966,,27.424,695.745,93.0865,,829.225
0.7924,1.6012,12.9135,0.0591,0.0029,1.0703,0.0001,0.3106,2.7647,0.0001,7.3005,,11.5274,0.5965,,27.4478,689.646,97.1393,,827.091
0.7933,1.5671,12.5097,0.0595,0.0025,0.822,0.0001,0.3,2.7441,0.0003,7.2982,,11.2463,0.5954,,26.7298,690.83,93.3733,,823.741
0.7908,1.5666,12.9044,0.0593,0.0047,0.8359,0.0003,0.3176,2.7411,0.0002,7.2887,,11.27,0.5912,,27.1414,692.654,93.2806,,826.051
0.7891,1.555,12.8583,0.0643,0.0037,0.8324,0.0001,0.3062,2.7478,0.0001,7.2921,,11.265,0.5892,,27.0722,693.456,93.0878,,826.569
0.7895,1.6466,13.4837,0.0684,0.0043,0.9681,0.0001,0.3197,2.7497,0.0002,7.2964,,11.4262,0.6153,,27.9822,697.881,93.1499,,831.917
0.8524,1.025,13.6424,0.0706,0.0035,0.7376,0.0001,0.3122,2.7216,0.0001,7.3276,,11.1824,0.6028,,27.3175,686.461,92.9451,,817.234
0.7908,1.5644,12.879,0.0608,0.0024,1.0608,0.0001,0.3027,2.7678,0.0002,7.3749,,11.5873,0.5966,,27.434,694.994,93.0506,,828.459
0.7867,1.584,13.0566,0.0578,0.0026,1.0574,0.0001,0.3068,2.7616,0.0002,7.301,,11.5042,0.601,,27.553,695.099,93.2088,,828.858
0.7962,1.583,13.0598,0.0645,0.004,1.0711,0.0001,0.323,2.7516,0.0001,7.2903,,11.5242,0.5943,,27.5798,700.073,93.1783,,833.896
0.7933,1.7827,12.3719,0.0589,0.0026,0.783,0.0001,0.3031,2.7273,0.0002,7.2955,,11.1818,0.5886,,26.7357,696.496,93.4878,,829.627
0.793,1.5847,12.7837,0.0584,0.0059,0.8136,0.0001,0.3022,2.7722,0.0001,7.2965,,11.2615,0.5934,,27.0321,692.472,92.8064,,825.349
0.7961,1.6508,12.6263,0.0553,0.0035,0.8583,0.0001,0.3026,2.7437,0.0002,7.3,,11.2829,0.5877,,26.9619,692.23,93.2818,,825.444
0.7925,1.5413,12.2576,0.0553,0.003,0.8203,0.0001,0.3227,2.7376,0.0003,7.2898,,11.2507,0.5938,,26.4526,697.256,92.9397,,829.646
0.7828,1.0404,13.451,0.0651,0.0037,0.7758,0.0001,0.344,2.7554,0.0003,7.3106,,11.2705,0.6069,,27.1626,695.945,93.2167,,826.761
0.7955,1.5388,12.8878,0.0592,0.0024,1.0472,0.0001,0.3051,2.7565,0.0002,7.2965,,11.4781,0.5877,,27.306,690.538,93.6641,,824.306
0.8009,1.6102,12.9845,0.0645,0.0036,1.0672,0.0001,0.3094,2.7525,0.0002,7.3119,,11.5281,0.5976,,27.5415,690.291,93.0455,,823.768
0.7929,1.5248,12.9201,0.06,0.0067,1.091,0.0002,0.3199,2.7496,0.0002,7.2928,,11.542,0.6252,,27.4249,698.587,93.2025,,832.292
0.7869,1.5607,12.8221,0.0574,0.0024,1.0634,0.0001,0.3069,2.7613,0.0002,7.3029,,11.5158,0.5998,,27.3018,697.951,93.2717,,831.599
0.8053,1.5839,13.359,0.0611,0.0039,1.0925,0.0001,0.3182,2.7587,0.0003,7.3126,,11.5686,0.5977,,27.9329,696.403,93.1758,,830.724
0.8085,1.71,12.3694,0.0576,0.0026,0.8201,0.0001,0.3026,2.737,0.0002,7.296,,11.232,0.5911,,26.7285,696.854,93.2777,,829.896
0.7879,1.5208,12.7246,0.0629,0.0029,0.8603,0.0001,0.3184,2.7318,0.0002,7.2945,,11.287,0.6,,26.9385,691.506,93.6792,,824.971
0.7864,1.0389,13.2521,0.0561,0.0036,0.7584,0.0001,0.3049,2.8026,0.0002,7.3449,,11.2836,0.5924,,26.9634,694.399,92.6411,,824.419
0.7828,1.557,12.707,0.071,0.0042,0.8971,0.0001,0.3111,2.7448,0.0002,7.2888,,11.3362,0.5885,,27.0642,694.529,93.1048,,827.623
0.7837,1.5776,12.6419,0.058,0.002,0.8051,0.0001,0.2981,2.7513,0.0002,7.2858,,11.2141,0.5903,,26.8239,697.321,93.1874,,830.164
0.7885,1.5418,12.5467,0.0585,0.0027,0.8229,0.0001,0.3036,2.7565,0.0002,7.3039,,11.2654,0.5956,,26.7544,692.983,93.613,,826.262
0.7915,1.5665,12.6907,0.0545,0.0035,0.8239,0.0001,0.3025,2.7505,0.0002,7.2989,,11.2511,0.5894,,26.9047,696.697,93.6631,,830.251
0.7921,1.5748,12.5721,0.0604,0.0027,0.8133,0.0003,0.3006,2.7381,0.0002,7.3048,,11.2317,0.6069,,26.7981,699.102,93.8333,,832.745
0.7907,1.6379,12.6676,0.0565,0.0038,0.8338,0.0001,0.307,2.7604,0.0002,7.3065,,11.291,0.5951,,27.0012,698.674,93.7257,,832.314
0.7877,1.562,12.675,0.0644,0.0041,0.8372,0.0002,0.317,2.7558,0.0002,7.2988,,11.2988,0.5938,,26.9374,720.218,93.4217,,853.472
0.7749,1.0414,13.2982,0.0601,0.0036,0.7567,0.0001,0.3414,2.7207,0.0001,7.3367,,11.2289,0.592,,26.9484,689.49,93.0763,,819.972
0.7911,1.5859,12.67,0.0611,0.0035,0.8198,0.0001,0.3098,2.7441,0.0001,7.2952,,11.2472,0.6007,,26.919,693.646,96.7516,,830.226
0.7986,1.7738,12.9915,0.0591,0.0039,0.8044,0.0001,0.3161,2.7267,0.0002,7.2922,,11.224,0.5939,,27.4014,695.178,93.7652,,829.174
0.7957,1.5735,12.9492,0.0656,0.0024,0.8124,0.0002,0.3033,2.7018,0.0002,7.3086,,11.2097,0.5892,,27.1367,700.173,93.7097,,833.998
0.7872,1.5632,12.5411,0.0596,0.0044,0.8232,0.0003,0.3069,2.7443,0.0002,7.3178,,11.2797,0.5969,,26.7863,695.626,93.8342,,829.117
0.7918,1.5926,12.5166,0.0592,0.0027,0.8237,0.0001,0.3113,2.7438,0.0002,7.29,,11.2422,0.589,,26.7501,693.544,93.6544,,826.851
0.789,1.603,12.604,0.0568,0.0049,0.8499,0.0002,0.3098,2.7233,0.0003,7.314,,11.2816,0.5902,,26.8845,711.175,93.6157,,844.59
0.8015,1.5405,12.8878,0.0687,0.0074,0.9779,0.0001,0.3193,2.7364,0.0003,7.2953,,11.4274,0.5894,,27.2658,698.667,93.8864,,832.768
0.7982,1.0796,13.6902,0.0607,0.004,0.788,0.0001,0.3028,2.7438,0.0001,7.3777,,11.2868,0.5996,,27.4689,698.76,93.7677,,830.623
0.794,1.5878,12.9165,0.0561,0.0037,0.8256,0.0002,0.311,2.7124,0.0002,7.3016,,11.2269,0.5978,,27.1411,696.903,98.9583,,835.906
0.8527,1.5578,12.8592,0.0588,0.0046,0.8365,0.0001,0.3075,2.7572,0.0002,7.312,,11.3015,0.5957,,27.1903,692.577,93.5593,,826.473
0.804,1.5418,12.6504,0.0513,0.0025,0.9382,0.0001,0.3192,2.7588,0.0003,7.3005,,11.3971,0.5979,,27.0093,700.373,93.6762,,833.899
0.7971,1.5535,12.222,0.0549,0.0025,0.8652,0.0001,0.3054,2.7501,0.0003,7.3119,,11.3084,0.6339,,26.5315,702.397,94.3013,,836.149
0.8337,1.5096,12.3679,0.0589,0.004,0.8356,0.0001,0.3122,2.7633,0.0002,7.3913,,11.3882,0.6187,,26.7447,704.47,93.8496,,838.155
0.7963,1.5902,13.0488,0.0632,0.0025,0.8462,0.0001,0.3119,2.7211,0.0002,7.2929,,11.2499,0.5918,,27.2939,700.436,94.1322,,834.812
0.7928,1.6933,12.457,0.0614,0.0037,0.8548,0.0001,0.3133,2.7169,0.0001,7.2985,,11.266,0.5888,,26.8128,694.284,93.5809,,827.583
0.785,1.0274,14.2991,0.0663,0.0036,0.812,0.0001,0.3013,2.7527,0.0002,7.3486,,11.2973,0.6253,,28.0444,694.675,95.4127,,828.593
0.7915,1.5309,13.7038,0.0706,0.0053,1.1078,0.0002,0.308,2.7163,0.0002,7.3138,,11.5435,0.5911,,28.1802,698.375,93.9353,,833.492
0.788,1.5512,12.8321,0.0575,0.0038,0.8335,0.0001,0.3299,2.7353,0.0002,7.3118,,11.2945,0.5934,,27.0787,701.5,93.9891,,835.468
0.7901,1.53,12.6647,0.0522,0.0024,0.8757,0.0001,0.3003,2.7437,0.0002,7.3112,,11.3031,0.5923,,26.8949,695.909,97.2716,,833.003
0.7929,1.7947,12.9609,0.0633,0.004,0.7922,0.0001,0.3077,2.7618,0.0002,7.3189,,11.2733,0.6006,,27.4386,694.587,94.2757,,829.191
0.7846,1.5215,12.6689,0.0531,0.0077,0.9009,0.0001,0.3094,2.7111,0.0003,7.3382,,11.3411,0.5989,,26.9324,697.784,94.2314,,831.955
0.7913,1.7753,13.1704,0.0558,0.0074,0.8143,0.0001,0.3003,2.7364,0.0001,7.3148,,11.2448,0.5955,,27.5919,701.375,93.8864,,835.821
0.7867,1.5804,12.5479,0.0601,0.0038,0.9017,0.0001,0.3081,2.7522,0.0002,7.3082,,11.3539,0.5961,,26.8835,700.573,94.4234,,834.79
0.778,1.0483,13.7269,0.0544,0.0042,0.7745,0.0001,0.3376,2.7321,0.0001,7.3081,,11.2235,0.6035,,27.3947,696.452,94.2869,,828.749
0.8222,1.6193,12.9074,0.069,0.0055,0.904,0.0001,0.3037,2.7186,0.0002,7.3142,,11.338,0.5899,,27.2961,700.652,94.5095,,835.334
0.7978,1.5466,12.2522,0.0575,0.004,0.8302,0.0002,0.3069,2.7387,0.0002,7.3117,,11.2698,0.5906,,26.472,696.351,94.7815,,830.687
0.7882,1.5709,13.1027,0.0597,0.0041,0.8128,0.0001,0.3117,2.7437,0.0002,7.3219,,11.2757,0.5966,,27.3568,700.316,94.3642,,834.951
0.7831,1.5717,12.8163,0.0602,0.0036,0.8345,0.0001,0.303,2.7662,0.0002,7.3189,,11.3096,0.5957,,27.0968,698.456,93.9745,,832.479
0.7844,1.5275,12.6078,0.0646,0.0034,0.7854,0.0001,0.3132,2.7597,0.0001,7.2975,,11.2433,0.5947,,26.7801,695.626,98.8594,,834.153
0.7889,1.5149,12.9888,0.0656,0.004,0.789,0.0001,0.3159,2.7444,0.0002,7.302,,11.2425,0.5959,,27.1484,695.239,93.8749,,829.354
0.8103,1.5437,12.67,0.0503,0.0025,0.79,0.0002,0.3039,2.7489,0.0002,7.3127,,11.2206,0.5864,,26.8465,698.101,94.2962,,832.376
0.7756,1.0248,13.7264,0.0541,0.0026,0.7545,0.0001,0.3069,2.7239,0.0002,7.3136,,11.1642,0.5931,,27.2942,699.989,94.0152,,831.824
0.7916,1.5931,12.9282,0.063,0.0026,0.7898,0.0001,0.3079,2.7139,0.0002,7.3089,,11.2013,0.5922,,27.1236,705.409,97.0484,,842.572
0.7916,1.5612,12.8986,0.0578,0.0049,0.8013,0.0001,0.3166,2.7341,0.0002,7.2996,,11.2335,0.5965,,27.1009,695.965,94.3985,,830.391
0.7925,1.5808,12.4728,0.0611,0.0039,0.833,0.0003,0.3059,2.7368,0.0002,7.3175,,11.2788,0.5983,,26.7428,700.224,94.44,,834.291
0.7934,1.7339,12.6873,0.0601,0.0024,0.7721,0.0002,0.3044,2.7214,0.0002,7.3135,,11.1863,0.5903,,27.0085,701.379,94.2175,,835.68
0.7901,1.5843,12.5717,0.0571,0.0035,0.7914,0.0001,0.3553,2.7295,0.0002,7.3113,,11.2636,0.5864,,26.8185,699.326,94.5345,,833.738
0.8033,1.5462,12.6817,0.0586,0.0024,0.7857,0.0001,0.3036,2.7354,0.0002,7.3197,,11.2266,0.5938,,26.8694,701.275,94.7281,,835.873
0.7879,1.5908,12.8222,0.0612,0.0066,0.8004,0.0001,0.3066,2.7286,0.0002,7.3088,,11.2346,0.5928,,27.0495,693.691,99.8481,,833.482
0.9233,1.0338,13.7183,0.0578,0.0042,0.78,0.0001,0.3059,2.7314,0.0003,7.3421,,11.2341,0.6093,,27.5321,699.259,94.4442,,831.841
0.7974,1.5839,12.7837,0.0589,0.0022,0.7851,0.0001,0.3024,2.7166,0.0002,7.3105,,11.1925,0.5942,,26.9698,700.625,94.3463,,834.901
0.7966,1.5413,12.6736,0.0655,0.0042,0.7953,0.0001,0.3278,2.7465,0.0002,7.3098,,11.2697,0.5872,,26.8915,697.983,94.6698,,832.536
0.7909,1.5552,12.6786,0.0616,0.0034,0.8227,0.0001,0.3038,2.7292,0.0002,7.3063,,11.2424,0.5928,,26.8821,697.33,93.9647,,831.081
