Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,s,Compute neighbours,Copy sorting indexes to CPU,s,neighborhood search, constraint projection,XSPH viscosity computation,s,SimStep
0.7817,1.5665,13.0152,0.061,0.0049,1.0004,0.0002,0.3829,1.9878,0.0002,5.6586,,9.1234,0.6153,,25.1177,420.109,63.6932,,522.175
0.7908,1.6833,13.822,0.0543,0.0039,0.766,0.0001,0.3096,1.9737,0.0002,5.6667,,8.7962,0.5891,,25.7004,419.244,63.6382,,521.725
0.7861,1.5641,13.0583,0.0638,0.0041,0.9428,0.0001,0.3969,1.9927,0.0001,5.7382,,9.159,0.5964,,25.1834,421.271,63.6516,,523.42
0.7922,1.7146,14.1377,0.0678,0.0042,0.7918,0.0001,0.3096,2.0037,0.0002,5.7112,,8.9114,0.5906,,26.1636,425.663,64.6742,,529.669
0.7834,1.5147,12.9771,0.0666,0.0026,1.0375,0.0002,0.3262,2.0195,0.0002,5.6952,,9.1719,0.6492,,25.1224,430.964,64.3429,,533.585
0.7753,1.0303,13.2348,0.057,0.0034,0.723,0.0001,0.3252,1.9866,0.0001,5.7348,,8.8426,0.6184,,24.5126,422.922,64.1222,,522.421
0.7875,1.5374,12.8246,0.0631,0.006,0.9956,0.0001,0.3152,2.0116,0.0001,5.7276,,9.1351,0.5919,,24.8946,428.066,63.6994,,529.677
0.7818,1.7031,13.9595,0.0525,0.0027,0.7335,0.0001,0.3074,1.9906,0.0002,5.7389,,8.8455,0.5939,,25.9018,427.846,64.8968,,531.879
0.7832,1.565,12.5692,0.0611,0.0027,0.9786,0.0001,0.3031,2.0286,0.0001,5.752,,9.1383,0.5896,,24.6609,441.779,65.2457,,544.996
0.7851,1.6988,13.8173,0.0582,0.0025,0.7893,0.0002,0.3095,2.0206,0.0002,5.7323,,8.9257,0.59,,25.8299,428.436,64.7616,,532.345
