,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours (Excluding),Compute neighbours,neighborhood search (Excluding),neighborhood search, constraint projection,XSPH viscosity computation,SimStep (Excluding),SimStep
269,0.7895,1.8353,14.4494,0.0581,0.0049,0.8622,0.0003,0.0757,2.7491,0.0002,8.2851,7.6021,,19.6556,,36.7519,632.101,86.0076,,771.645
270,0.7936,1.6119,12.8716,0.063,0.0046,0.9039,0.0001,0.0734,2.776,0.0002,8.469,7.5978,,19.9117,,35.2086,630.354,85.5979,,767.768
271,0.7752,1.578,13.0653,0.0592,0.0054,1.0402,0.0001,0.0844,2.768,0.0002,8.5528,7.6424,,20.1779,,35.6175,634.745,85.8718,,772.887
272,0.8125,1.0668,13.3636,0.0662,0.0046,0.8107,0.0002,0.0721,2.7686,0.0001,8.3753,7.6482,,19.7626,,35.0234,628.062,85.6783,,766.019
273,0.7523,1.6309,12.7667,0.0519,0.0026,0.8338,0.0001,0.072,2.763,0.0001,8.2737,7.6018,,19.6172,,34.7875,630.244,85.58,,767.457
274,0.7418,1.5868,12.8494,0.0644,0.0076,1.1006,0.0001,0.0837,2.7461,0.0005,8.5055,7.6387,,20.1738,,35.3697,626.377,86.4095,,764.879
275,0.7683,1.7791,13.5803,0.0501,0.0056,0.8571,0.0001,0.0763,2.7662,0.0003,8.5703,7.6004,,19.9523,,36.098,634.248,86.2707,,773.36
276,0.7818,1.5567,13.0048,0.0625,0.0048,0.8946,0.0002,0.071,2.7605,0.0001,8.4834,7.6081,,19.9037,,35.2654,634.055,85.7906,,771.791
277,0.7816,1.7942,13.0818,0.0605,0.0026,1.071,0.0001,0.0892,2.7465,0.0002,8.5395,7.6023,,20.1317,,35.8105,630.901,86.8446,,770.229
278,0.7774,1.5776,13.0417,0.0629,0.0047,1.0916,0.0001,0.0864,2.7423,0.0002,8.276,7.6132,,19.9008,,35.3138,628.955,86.0931,,767.033
279,0.7792,1.7009,14.1681,0.0608,0.0046,0.8304,0.0001,0.1599,2.7434,0.0002,8.2915,7.6014,,19.7107,,36.3785,632.411,85.2816,,770.767
280,0.8116,1.1031,13.4248,0.0652,0.0046,0.832,0.0001,0.073,2.7594,0.0002,8.6198,7.6554,,20.0265,,35.3846,630.826,86.7451,,770.028
281,0.7778,1.6351,13.1368,0.0625,0.0024,1.0609,0.0001,0.0829,2.7716,0.0002,8.5418,7.605,,20.1478,,35.7183,627.688,85.753,,765.731
282,0.7516,1.7006,14.2036,0.0595,0.0051,0.8498,0.0002,0.114,2.7688,0.0002,8.4907,7.6625,,19.9799,,36.6563,629.582,85.9663,,769.108
283,0.7705,1.5913,12.9198,0.0597,0.0057,0.8371,0.0001,0.0744,2.7679,0.0002,8.3268,7.6154,,19.7105,,35.0097,634.647,86.0669,,772.439
284,0.7491,1.6107,13.2568,0.0624,0.0046,1.0692,0.0001,0.0872,2.7856,0.0002,8.562,7.6282,,20.2233,,35.857,631.388,86.2481,,770.327
285,0.7534,1.6252,13.1101,0.0632,0.0052,1.0692,0.0001,0.0888,2.7579,0.0002,8.2973,7.6056,,19.9111,,35.4208,634.744,86.2208,,773.347
286,0.7788,1.6946,14.2085,0.0619,0.0049,0.8666,0.0001,0.0715,2.7644,0.0002,8.4607,7.607,,19.8576,,36.5574,631.162,86.2931,,770.91
287,0.7828,1.5742,12.9794,0.0627,0.0063,0.8332,0.0001,0.0763,2.7542,0.0001,8.5198,7.6236,,19.8948,,35.2499,628.497,86.9372,,767.636
288,0.8254,1.1176,13.5351,0.0663,0.0051,0.7788,0.0001,0.0774,2.7501,0.0002,8.3465,7.6488,,19.6959,,35.2247,631.281,85.8212,,768.161
289,0.7646,1.6573,13.009,0.0618,0.0024,1.0513,0.0001,0.0825,2.7401,0.0002,8.6301,7.6014,,20.1854,,35.6332,626.357,87.753,,766.465
290,0.7593,1.7483,14.3902,0.0619,0.0026,0.7847,0.0001,0.0721,2.7676,0.0002,8.3649,7.594,,19.6616,,36.5789,628.661,86.2791,,768.444
291,0.7855,1.5871,12.9556,0.0629,0.0056,0.9924,0.0001,0.0838,2.7353,0.0001,8.2916,7.6033,,19.7966,,35.1443,634.314,86.1699,,772.467
292,0.7485,1.7689,13.0715,0.0612,0.0048,1.0552,0.0001,0.0845,2.7625,0.0001,8.4346,7.612,,20.0367,,35.6455,636.991,86.4192,,775.83
293,0.7667,1.7199,13.9028,0.053,0.0047,0.799,0.0001,0.0745,2.7561,0.0002,8.2017,7.6744,,19.5875,,35.9982,632.483,86.5496,,771.747
294,0.7988,1.5331,12.4255,0.0602,0.0053,0.8283,0.0001,0.0726,2.7579,0.0002,8.4396,7.6026,,19.7841,,34.5645,631.857,86.9046,,770.044
295,0.7773,1.6279,13.2674,0.0636,0.0054,1.0613,0.0001,0.0936,2.7635,0.0002,8.4791,7.6214,,20.1081,,35.799,628.547,86.4407,,767.847
296,0.8336,1.0715,13.2807,0.055,0.0056,0.8121,0.0002,0.0789,2.7617,0.0004,8.3677,7.6463,,19.7487,,34.9545,630.923,85.9318,,767.881
