0,2.0372,23.2559,
1,2.1433,18.1163,
2,2.0864,17.5098,
3,2.2088,17.5183,
4,2.2058,17.6528,
5,2.1345,17.694,
6,2.0431,17.872,
7,2.2452,18.1502,
8,2.0164,23.2435,
9,2.2086,18.0344,
10,2.175,18.1699,
11,2.2368,18.1938,
12,2.2663,24.5113,
13,2.4754,18.636,
14,2.2175,18.4004,
15,2.2973,18.6415,
16,2.0999,24.1016,
17,2.2581,18.7326,
18,2.2639,18.8475,
19,2.1744,18.8137,
20,2.2753,18.9741,
21,2.2972,19.0237,
22,2.3332,20.6833,
23,2.2033,19.2494,
24,2.1369,23.6204,
25,2.4081,19.7891,
26,2.2225,19.738,
27,2.1707,19.6506,
28,2.2218,19.9426,
29,2.2537,20.095,
30,2.2341,20.1977,
31,2.173,20.1087,
32,2.1646,28.7976,
33,2.3133,23.2188,
34,2.3218,27.9061,
35,2.2684,22.9905,
36,2.3409,23.125,
37,2.3251,24.9876,
38,2.3506,27.6017,
39,2.2626,27.3947,
40,2.1165,27.0649,
41,2.3564,22.2624,
42,2.3177,22.3545,
43,2.3376,22.512,
44,2.2715,23.1396,
45,2.3605,23.1638,
46,2.3243,23.1617,
47,2.3006,23.2372,
48,2.2581,26.2551,
49,2.3641,23.708,
50,2.3765,24.3822,
51,2.344,23.9905,
52,2.4489,24.2663,
53,2.4091,26.3984,
54,2.3467,24.8061,
55,2.3546,24.9329,
56,2.2491,29.8435,
57,2.4256,25.3359,
58,2.3601,25.3992,
59,2.3389,25.6938,
60,2.3771,25.7126,
61,2.363,25.9313,
62,2.3793,26.0806,
63,2.3444,26.3457,
64,2.2691,30.9576,
65,2.4028,26.131,
66,2.3646,26.1596,
67,2.3435,26.2355,
68,2.3223,26.2372,
69,2.2819,26.1958,
70,2.3035,26.3033,
71,2.3662,26.6366,
72,2.2304,28.9287,
73,2.3773,27.0428,
74,2.4049,26.5845,
75,2.338,27.4416,
76,2.4689,26.4465,
77,2.3312,26.4269,
78,2.3636,26.4982,
79,2.3718,26.6162,
80,2.2346,30.9845,
