,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
34,1.422,2.2956,8.0062,0.7309,2.7149,0.2021,3.4404,,6.3686,0.0003,0.0002,0.3154,5.8213,,23.5609,,24.9921,374.307,60.772,,473.189
35,1.4502,2.1134,7.8469,0.6784,4.0332,0.2049,4.0177,,8.2662,0.0003,0.0002,0.3125,5.6365,,24.8768,,26.3346,378.911,60.8891,,479.337
36,1.4282,2.5905,8.0678,0.9366,2.7505,0.213,3.4891,,6.462,0.0002,0.0002,0.3188,5.842,,24.2405,,25.6792,380.709,61.113,,480.535
37,1.4285,2.2146,7.7848,0.6126,4.0366,0.1625,4.0174,,8.2226,0.0002,0.0003,0.3403,5.6431,,24.841,,26.2797,386.007,61.022,,486.369
38,1.426,2.3319,8.0514,0.6594,2.7484,0.1881,3.4677,,6.4096,0.0002,0.0003,0.3148,5.8591,,23.6438,,25.0798,380.09,61.1165,,479.226
39,1.4214,2.1605,7.8306,0.6651,4.0586,0.1846,4.0343,,8.2813,0.0002,0.0003,0.3176,5.6771,,24.9474,,26.3804,388.398,61.3131,,489.026
40,1.2962,1.6226,7.771,0.92,2.8765,0.2607,3.5906,,6.732,0.0002,0.0002,0.3417,5.6832,,23.0805,,24.3886,380.428,61.3601,,477.177
41,1.4286,2.2315,7.8636,0.6573,4.1724,0.208,4.12,,8.5047,0.0002,0.0003,0.3153,5.6982,,25.2916,,26.7291,385.748,68.1167,,493.505
42,1.4333,2.323,8.0508,0.6532,2.8723,0.1495,3.5092,,6.5355,0.0002,0.0003,0.3154,5.9114,,23.8031,,25.2449,387.556,61.7907,,487.629
43,1.4268,2.1637,7.8075,0.5958,4.1367,0.1925,4.104,,8.4417,0.0003,0.0002,0.3209,5.7243,,25.0779,,26.5149,392.149,62.0846,,493.832
44,1.4639,2.2837,8.031,0.8408,2.8994,0.1885,3.3229,,6.4158,0.0002,0.0003,0.3163,5.7863,,23.6892,,25.1619,392.886,62.5832,,493.818
45,1.4543,2.2316,7.8609,0.6812,4.2299,0.2033,4.1749,,8.6121,0.0004,0.0002,0.3149,5.7399,,25.458,,26.9204,393.913,62.4803,,496.513
