0,0.0872,0.3282,0.4074,0.2553,0.193,0.3163,0.7738,0.0003,0.0001,0.0864,0.4019,2.0149,2.1068,15.6851,2.1719,20.3567,
1,0.086,0.3586,0.4027,0.2613,0.2354,0.317,0.8225,0.0002,0.0002,0.0855,0.4163,2.1026,2.1921,13.6698,2.0312,18.3804,
2,0.0865,0.4161,0.3977,0.2612,0.19,0.3152,0.7718,0.0003,0.0002,0.0839,0.4021,2.0882,2.1787,17.2322,2.7466,22.644,
3,0.0834,0.3496,0.3663,0.2599,0.1707,0.312,0.7494,0.0002,0.0002,0.1006,0.4095,1.9859,2.0726,15.6322,3.7097,21.886,
4,0.082,0.5379,0.3837,0.2573,0.21,0.3145,0.7849,0.0001,0.0001,0.0783,0.4139,2.2061,2.2911,15.1888,2.0608,20.0078,
5,0.0827,0.5228,0.3734,0.2584,0.1621,0.3089,0.7325,0.0002,0.0001,0.0772,0.3998,2.1132,2.1987,15.2026,2.0399,19.9207,
6,0.0831,0.4044,0.3681,0.2606,0.1713,0.312,0.7471,0.0001,0.0002,0.0824,0.3962,2.0052,2.0909,15.3147,2.3569,20.2278,
7,0.082,0.4314,0.3543,0.2668,0.1925,0.3258,0.7881,0.0002,0.0001,0.0736,0.4087,2.0645,2.1494,18.2268,2.2289,23.106,
8,0.0862,0.2311,0.3739,0.2558,0.249,0.3148,0.8288,0.0002,0.0002,0.0894,0.4151,1.9471,2.038,18.8274,2.2336,23.553,
9,0.0828,0.5145,0.4098,0.2682,0.2429,0.3289,0.8499,0.0002,0.0001,0.0894,0.42,2.2988,2.3848,15.4669,2.2377,20.5875,
10,0.0831,0.4066,0.4077,0.2839,0.2501,0.3386,0.8844,0.0003,0.0002,0.0879,0.4291,2.2312,2.3176,18.0649,2.2777,23.1634,
11,0.0853,0.3462,0.3945,0.2893,0.2346,0.3354,0.8689,0.0003,0.0002,0.0893,0.4337,2.1453,2.2338,15.5764,2.2473,20.5646,
12,0.0826,0.353,0.3815,0.2875,0.3189,0.3564,0.9763,0.0003,0.0002,0.0993,0.4427,2.2721,2.3579,13.9106,2.2621,19.0285,
13,0.0868,0.4203,0.404,0.2921,0.1836,0.3492,0.8376,0.0002,0.0002,0.0853,0.4119,2.1744,2.2644,13.3211,2.2893,18.3711,
14,0.0873,0.3946,0.3821,0.2885,0.2106,0.3357,0.8386,0.0002,0.0002,0.0768,0.4057,2.1121,2.2025,13.564,2.2653,18.5384,
15,0.0833,0.3396,0.382,0.2795,0.2106,0.3272,0.822,0.0002,0.0002,0.0999,0.4047,2.0667,2.1534,13.5312,2.2714,18.456,
16,0.1031,0.318,0.4007,0.2872,0.2629,0.3493,0.9066,0.0002,0.0002,0.0988,0.4046,2.1489,2.2571,19.2762,2.2724,24.3126,
17,0.0832,0.5854,0.3938,0.2889,0.1873,0.3441,0.8284,0.0003,0.0002,0.0867,0.4057,2.3155,2.4022,13.6355,2.2688,18.8053,
18,0.0829,0.5248,0.3955,0.2824,0.2252,0.3397,0.8542,0.0002,0.0001,0.0816,0.4293,2.3014,2.3876,13.8927,2.2949,19.0797,
19,0.0893,0.4451,0.4442,0.2835,0.2658,0.3426,0.9028,0.0002,0.0002,0.0846,0.4061,2.2983,2.3909,14.1611,2.2616,19.3073,
20,0.0827,0.4001,0.3958,0.3035,0.2375,0.3573,0.9082,0.0002,0.0001,0.0857,0.4352,2.2437,2.3298,13.8678,2.2862,18.9877,
