0,2.7622,7.386,1.2626,11.5999,
1,1.8218,5.975,0.7644,8.776,
2,1.8073,6.763,1.3413,10.1249,
3,1.8203,5.1942,0.8427,8.0622,
4,1.8327,8.5184,1.3142,11.8774,
5,2.3743,7.2084,1.3556,11.1517,
6,2.2643,5.3186,0.8293,8.6257,
7,1.7968,7.7522,0.8809,10.6555,
8,2.3516,8.3862,1.5611,12.5172,
9,2.6006,7.4911,0.9093,11.226,
10,1.839,5.3328,0.9375,8.3396,
11,2.1062,5.3541,0.9467,8.6447,
12,1.7917,5.5472,0.8712,8.4384,
13,1.8286,6.2818,0.8373,9.1681,
14,1.8598,5.6959,0.9096,8.6921,
15,1.9267,5.9556,0.8327,8.9353,
16,2.6789,7.2929,0.9296,11.1253,
17,1.9074,6.0711,0.9066,9.105,
18,1.9231,6.304,0.9225,9.3786,
19,1.9896,5.8207,0.8951,8.9278,
20,1.9024,5.9531,0.8796,8.9648,
21,1.9484,5.9358,0.8642,8.9759,
22,1.9349,6.126,0.9347,9.2212,
23,2.0563,6.1943,0.9501,9.4236,
24,2.7077,9.6802,0.8873,13.4913,
25,2.0508,7.0788,0.952,10.3113,
26,2.0277,6.3272,1.0207,9.6006,
27,2.0773,6.4201,0.926,9.6503,
28,2.042,6.5087,0.9517,9.7281,
29,2.1956,6.6099,0.9297,9.9576,
30,2.1407,6.5918,0.9272,9.8815,
31,2.1554,6.8619,1.0924,10.3355,
32,3.0771,8.1786,1.3772,12.8519,
33,2.1031,7.224,0.9308,10.485,
34,2.3398,7.1929,0.9415,10.6966,
35,2.1772,7.2599,0.9407,10.6064,
36,2.9829,8.5252,0.9292,12.6633,
37,3.1241,8.209,0.9438,12.5036,
38,2.1959,9.6887,0.9427,13.0502,
39,2.2197,10.0401,1.6508,14.1313,
40,3.2352,11.6963,1.5064,16.6445,
41,2.7073,7.6613,0.9636,11.5591,
42,2.2811,7.7975,1.4899,11.7892,
43,2.2899,8.4444,0.9637,11.9178,
44,2.5576,7.6587,0.9726,11.4106,
45,3.5541,7.5884,0.9805,12.3409,
46,2.3285,7.6041,0.9763,11.1243,
47,2.3171,7.7473,0.9922,11.2726,
48,3.3769,9.1085,0.9874,13.6765,
49,2.367,8.2696,0.9981,11.8499,
50,2.3626,7.97,1.0831,11.6362,
51,2.3587,7.9108,1.839,12.3216,
52,3.3096,8.9009,1.0201,13.4448,
53,2.4753,7.9625,1.0283,11.6828,
54,2.4445,11.0889,1.8266,15.576,
55,3.6549,8.0698,1.0212,12.9576,
56,3.7214,10.6309,1.0276,15.5979,
57,2.4638,8.012,1.0302,11.7209,
58,2.3773,8.1954,1.036,11.8212,
59,2.3904,8.1334,1.0372,11.7748,
60,3.1944,8.4824,1.046,12.9408,
61,2.4998,8.1034,1.039,11.8642,
62,2.4065,8.2357,1.0431,11.9005,
63,2.405,8.1661,1.0493,11.8372,
64,3.7469,10.4851,1.0361,15.4684,
65,2.4039,8.3,1.0457,11.9659,
66,2.7918,8.7652,1.048,12.8195,
67,2.5036,8.1738,1.0453,11.9396,
68,2.3993,8.3014,1.0743,11.9903,
69,2.3996,10.6471,1.0558,14.315,
70,2.4205,8.3624,1.1265,12.1292,
71,2.4298,8.2436,1.0971,11.9858,
